date,RTX,isPartial
2019-05-26,12,False
2019-06-02,14,False
2019-06-09,16,False
2019-06-16,16,False
2019-06-23,14,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,19,False
2019-07-21,18,False
2019-07-28,16,False
2019-08-04,15,False
2019-08-11,16,False
2019-08-18,20,False
2019-08-25,18,False
2019-09-01,17,False
2019-09-08,16,False
2019-09-15,16,False
2019-09-22,16,False
2019-09-29,16,False
2019-10-06,16,False
2019-10-13,16,False
2019-10-20,15,False
2019-10-27,17,False
2019-11-03,18,False
2019-11-10,17,False
2019-11-17,18,False
2019-11-24,24,False
2019-12-01,20,False
2019-12-08,17,False
2019-12-15,17,False
2019-12-22,19,False
2019-12-29,17,False
2020-01-05,17,False
2020-01-12,19,False
2020-01-19,18,False
2020-01-26,16,False
2020-02-02,16,False
2020-02-09,15,False
2020-02-16,17,False
2020-02-23,18,False
2020-03-01,16,False
2020-03-08,16,False
2020-03-15,16,False
2020-03-22,19,False
2020-03-29,21,False
2020-04-05,23,False
2020-04-12,32,False
2020-04-19,35,False
2020-04-26,33,False
2020-05-03,30,False
2020-05-10,32,False
2020-05-17,29,False
2020-05-24,27,False
2020-05-31,27,False
2020-06-07,31,False
2020-06-14,28,False
2020-06-21,27,False
2020-06-28,27,False
2020-07-05,27,False
2020-07-12,28,False
2020-07-19,28,False
2020-07-26,29,False
2020-08-02,27,False
2020-08-09,29,False
2020-08-16,30,False
2020-08-23,34,False
2020-08-30,100,False
2020-09-06,71,False
2020-09-13,96,False
2020-09-20,76,False
2020-09-27,54,False
2020-10-04,48,False
2020-10-11,43,False
2020-10-18,42,False
2020-10-25,65,False
2020-11-01,45,False
2020-11-08,49,False
2020-11-15,56,False
2020-11-22,59,False
2020-11-29,69,False
2020-12-06,68,False
2020-12-13,62,False
2020-12-20,57,False
2020-12-27,57,False
2021-01-03,54,False
2021-01-10,57,False
2021-01-17,51,False
2021-01-24,53,False
2021-01-31,49,False
2021-02-07,49,False
2021-02-14,51,False
2021-02-21,62,False
2021-02-28,48,False
2021-03-07,44,False
2021-03-14,46,False
2021-03-21,42,False
2021-03-28,43,False
2021-04-04,42,False
2021-04-11,40,False
2021-04-18,40,False
2021-04-25,40,False
2021-05-02,39,False
2021-05-09,43,False
2021-05-16,39,False
2021-05-23,36,False
2021-05-30,46,False
2021-06-06,42,False
2021-06-13,39,False
2021-06-20,40,False
2021-06-27,41,False
2021-07-04,42,False
2021-07-11,41,False
2021-07-18,41,False
2021-07-25,40,False
2021-08-01,39,False
2021-08-08,40,False
2021-08-15,40,False
2021-08-22,40,False
2021-08-29,37,False
2021-09-05,36,False
2021-09-12,33,False
2021-09-19,33,False
2021-09-26,32,False
