date,MET,isPartial
2018-11-18,27,False
2018-11-25,27,False
2018-12-02,27,False
2018-12-09,28,False
2018-12-16,28,False
2018-12-23,29,False
2018-12-30,28,False
2019-01-06,28,False
2019-01-13,29,False
2019-01-20,28,False
2019-01-27,38,False
2019-02-03,28,False
2019-02-10,26,False
2019-02-17,26,False
2019-02-24,26,False
2019-03-03,28,False
2019-03-10,28,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,27,False
2019-04-07,26,False
2019-04-14,27,False
2019-04-21,27,False
2019-04-28,29,False
2019-05-05,100,False
2019-05-12,32,False
2019-05-19,29,False
2019-05-26,29,False
2019-06-02,31,False
2019-06-09,31,False
2019-06-16,29,False
2019-06-23,30,False
2019-06-30,27,False
2019-07-07,28,False
2019-07-14,29,False
2019-07-21,31,False
2019-07-28,30,False
2019-08-04,30,False
2019-08-11,31,False
2019-08-18,27,False
2019-08-25,27,False
2019-09-01,28,False
2019-09-08,27,False
2019-09-15,26,False
2019-09-22,29,False
2019-09-29,30,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,27,False
2019-10-27,28,False
2019-11-03,28,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,27,False
2019-12-08,29,False
2019-12-15,28,False
2019-12-22,29,False
2019-12-29,28,False
2020-01-05,28,False
2020-01-12,29,False
2020-01-19,27,False
2020-01-26,28,False
2020-02-02,29,False
2020-02-09,34,False
2020-02-16,29,False
2020-02-23,31,False
2020-03-01,26,False
2020-03-08,27,False
2020-03-15,28,False
2020-03-22,29,False
2020-03-29,30,False
2020-04-05,31,False
2020-04-12,32,False
2020-04-19,31,False
2020-04-26,39,False
2020-05-03,39,False
2020-05-10,32,False
2020-05-17,33,False
2020-05-24,32,False
2020-05-31,33,False
2020-06-07,33,False
2020-06-14,34,False
2020-06-21,35,False
2020-06-28,32,False
2020-07-05,30,False
2020-07-12,29,False
2020-07-19,31,False
2020-07-26,30,False
2020-08-02,30,False
2020-08-09,34,False
2020-08-16,33,False
2020-08-23,31,False
2020-08-30,28,False
2020-09-06,29,False
2020-09-13,28,False
2020-09-20,28,False
2020-09-27,29,False
2020-10-04,29,False
2020-10-11,29,False
2020-10-18,29,False
2020-10-25,30,False
2020-11-01,27,False
2020-11-08,30,False
2020-11-15,31,False
2020-11-22,30,False
2020-11-29,29,False
2020-12-06,30,False
2020-12-13,30,False
2020-12-20,32,False
2020-12-27,34,False
2021-01-03,31,False
2021-01-10,32,False
2021-01-17,32,False
2021-01-24,33,False
2021-01-31,34,False
2021-02-07,32,False
2021-02-14,31,False
2021-02-21,29,False
2021-02-28,29,False
2021-03-07,31,False
2021-03-14,29,False
2021-03-21,30,False
2021-03-28,31,False
2021-04-04,31,False
2021-04-11,29,False
2021-04-18,31,False
2021-04-25,31,False
2021-05-02,35,False
2021-05-09,33,False
2021-05-16,34,False
2021-05-23,33,False
2021-05-30,31,False
2021-06-06,29,False
2021-06-13,31,False
2021-06-20,30,False
2021-06-27,31,False
2021-07-04,31,False
2021-07-11,30,False
2021-07-18,32,False
2021-07-25,33,False
2021-08-01,31,False
2021-08-08,32,False
2021-08-15,30,False
2021-08-22,30,False
2021-08-29,27,False
2021-09-05,30,False
2021-09-12,100,False
2021-09-19,37,True
