date,BIIB,isPartial
2019-11-17,5,False
2019-11-24,5,False
2019-12-01,13,False
2019-12-08,6,False
2019-12-15,8,False
2019-12-22,4,False
2019-12-29,7,False
2020-01-05,7,False
2020-01-12,8,False
2020-01-19,3,False
2020-01-26,5,False
2020-02-02,17,False
2020-02-09,12,False
2020-02-16,9,False
2020-02-23,10,False
2020-03-01,12,False
2020-03-08,9,False
2020-03-15,10,False
2020-03-22,8,False
2020-03-29,5,False
2020-04-05,7,False
2020-04-12,8,False
2020-04-19,16,False
2020-04-26,9,False
2020-05-03,5,False
2020-05-10,7,False
2020-05-17,6,False
2020-05-24,7,False
2020-05-31,8,False
2020-06-07,9,False
2020-06-14,11,False
2020-06-21,9,False
2020-06-28,8,False
2020-07-05,11,False
2020-07-12,7,False
2020-07-19,8,False
2020-07-26,8,False
2020-08-02,12,False
2020-08-09,6,False
2020-08-16,6,False
2020-08-23,7,False
2020-08-30,6,False
2020-09-06,7,False
2020-09-13,7,False
2020-09-20,4,False
2020-09-27,8,False
2020-10-04,6,False
2020-10-11,7,False
2020-10-18,8,False
2020-10-25,5,False
2020-11-01,30,False
2020-11-08,23,False
2020-11-15,9,False
2020-11-22,8,False
2020-11-29,7,False
2020-12-06,9,False
2020-12-13,7,False
2020-12-20,7,False
2020-12-27,7,False
2021-01-03,5,False
2021-01-10,9,False
2021-01-17,5,False
2021-01-24,11,False
2021-01-31,11,False
2021-02-07,8,False
2021-02-14,5,False
2021-02-21,6,False
2021-02-28,6,False
2021-03-07,3,False
2021-03-14,6,False
2021-03-21,7,False
2021-03-28,3,False
2021-04-04,6,False
2021-04-11,4,False
2021-04-18,6,False
2021-04-25,8,False
2021-05-02,6,False
2021-05-09,4,False
2021-05-16,7,False
2021-05-23,7,False
2021-05-30,16,False
2021-06-06,100,False
2021-06-13,19,False
2021-06-20,14,False
2021-06-27,14,False
2021-07-04,16,False
2021-07-11,8,False
2021-07-18,12,False
2021-07-25,7,False
2021-08-01,9,False
2021-08-08,5,False
2021-08-15,10,False
2021-08-22,9,False
2021-08-29,9,True
