date,GILD,isPartial
2020-04-12,86,False
2020-04-19,78,False
2020-04-26,100,False
2020-05-03,55,False
2020-05-10,43,False
2020-05-17,40,False
2020-05-24,31,False
2020-05-31,34,False
2020-06-07,35,False
2020-06-14,28,False
2020-06-21,27,False
2020-06-28,33,False
2020-07-05,28,False
2020-07-12,33,False
2020-07-19,25,False
2020-07-26,29,False
2020-08-02,25,False
2020-08-09,23,False
2020-08-16,24,False
2020-08-23,23,False
2020-08-30,21,False
2020-09-06,18,False
2020-09-13,25,False
2020-09-20,20,False
2020-09-27,21,False
2020-10-04,26,False
2020-10-11,22,False
2020-10-18,33,False
2020-10-25,26,False
2020-11-01,20,False
2020-11-08,24,False
2020-11-15,23,False
2020-11-22,17,False
2020-11-29,23,False
2020-12-06,18,False
2020-12-13,16,False
2020-12-20,21,False
2020-12-27,23,False
2021-01-03,22,False
2021-01-10,23,False
2021-01-17,24,False
2021-01-24,19,False
2021-01-31,21,False
2021-02-07,19,False
2021-02-14,18,False
2021-02-21,21,False
2021-02-28,17,False
2021-03-07,19,False
2021-03-14,19,False
2021-03-21,17,False
2021-03-28,18,False
2021-04-04,14,False
2021-04-11,16,False
2021-04-18,16,False
2021-04-25,18,False
2021-05-02,16,False
2021-05-09,17,False
2021-05-16,16,False
2021-05-23,18,False
2021-05-30,16,False
2021-06-06,18,False
2021-06-13,19,False
2021-06-20,19,False
2021-06-27,16,False
2021-07-04,18,False
2021-07-11,17,False
2021-07-18,16,False
2021-07-25,22,False
2021-08-01,26,False
2021-08-08,22,False
2021-08-15,21,False
2021-08-22,20,False
2021-08-29,18,False
2021-09-05,15,True
