date,NKE,isPartial
2019-04-14,17,False
2019-04-21,19,False
2019-04-28,18,False
2019-05-05,21,False
2019-05-12,20,False
2019-05-19,17,False
2019-05-26,15,False
2019-06-02,13,False
2019-06-09,16,False
2019-06-16,9,False
2019-06-23,24,False
2019-06-30,14,False
2019-07-07,14,False
2019-07-14,13,False
2019-07-21,11,False
2019-07-28,14,False
2019-08-04,13,False
2019-08-11,17,False
2019-08-18,17,False
2019-08-25,17,False
2019-09-01,18,False
2019-09-08,17,False
2019-09-15,18,False
2019-09-22,24,False
2019-09-29,16,False
2019-10-06,16,False
2019-10-13,17,False
2019-10-20,19,False
2019-10-27,17,False
2019-11-03,17,False
2019-11-10,18,False
2019-11-17,16,False
2019-11-24,18,False
2019-12-01,20,False
2019-12-08,16,False
2019-12-15,28,False
2019-12-22,16,False
2019-12-29,14,False
2020-01-05,20,False
2020-01-12,19,False
2020-01-19,16,False
2020-01-26,22,False
2020-02-02,19,False
2020-02-09,18,False
2020-02-16,19,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,21,False
2020-03-15,19,False
2020-03-22,31,False
2020-03-29,21,False
2020-04-05,23,False
2020-04-12,17,False
2020-04-19,19,False
2020-04-26,17,False
2020-05-03,22,False
2020-05-10,16,False
2020-05-17,20,False
2020-05-24,17,False
2020-05-31,16,False
2020-06-07,17,False
2020-06-14,18,False
2020-06-21,26,False
2020-06-28,22,False
2020-07-05,17,False
2020-07-12,18,False
2020-07-19,18,False
2020-07-26,16,False
2020-08-02,15,False
2020-08-09,19,False
2020-08-16,19,False
2020-08-23,20,False
2020-08-30,22,False
2020-09-06,18,False
2020-09-13,16,False
2020-09-20,30,False
2020-09-27,16,False
2020-10-04,19,False
2020-10-11,19,False
2020-10-18,16,False
2020-10-25,19,False
2020-11-01,15,False
2020-11-08,15,False
2020-11-15,18,False
2020-11-22,22,False
2020-11-29,19,False
2020-12-06,19,False
2020-12-13,26,False
2020-12-20,19,False
2020-12-27,15,False
2021-01-03,19,False
2021-01-10,20,False
2021-01-17,15,False
2021-01-24,17,False
2021-01-31,19,False
2021-02-07,15,False
2021-02-14,18,False
2021-02-21,16,False
2021-02-28,15,False
2021-03-07,15,False
2021-03-14,17,False
2021-03-21,15,False
2021-03-28,18,False
2021-04-04,20,False
2021-04-11,17,False
2021-04-18,18,False
2021-04-25,17,False
2021-05-02,15,False
2021-05-09,16,False
2021-05-16,16,False
2021-05-23,16,False
2021-05-30,15,False
2021-06-06,14,False
2021-06-13,13,False
2021-06-20,30,False
2021-06-27,20,False
2021-07-04,16,False
2021-07-11,17,False
2021-07-18,18,False
2021-07-25,15,False
2021-08-01,14,False
2021-08-08,14,False
2021-08-15,18,False
2021-08-22,15,False
2021-08-29,14,False
2021-09-05,18,False
2021-09-12,17,False
2021-09-19,28,False
2021-09-26,20,False
