date,SPG,isPartial
2019-12-22,31,False
2019-12-29,33,False
2020-01-05,31,False
2020-01-12,34,False
2020-01-19,32,False
2020-01-26,27,False
2020-02-02,31,False
2020-02-09,32,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,26,False
2020-03-08,26,False
2020-03-15,25,False
2020-03-22,25,False
2020-03-29,24,False
2020-04-05,23,False
2020-04-12,24,False
2020-04-19,24,False
2020-04-26,25,False
2020-05-03,28,False
2020-05-10,34,False
2020-05-17,27,False
2020-05-24,28,False
2020-05-31,38,False
2020-06-07,43,False
2020-06-14,33,False
2020-06-21,36,False
2020-06-28,34,False
2020-07-05,34,False
2020-07-12,34,False
2020-07-19,33,False
2020-07-26,30,False
2020-08-02,32,False
2020-08-09,37,False
2020-08-16,34,False
2020-08-23,31,False
2020-08-30,27,False
2020-09-06,32,False
2020-09-13,33,False
2020-09-20,26,False
2020-09-27,26,False
2020-10-04,25,False
2020-10-11,30,False
2020-10-18,24,False
2020-10-25,25,False
2020-11-01,22,False
2020-11-08,28,False
2020-11-15,30,False
2020-11-22,31,False
2020-11-29,27,False
2020-12-06,25,False
2020-12-13,26,False
2020-12-20,24,False
2020-12-27,26,False
2021-01-03,27,False
2021-01-10,26,False
2021-01-17,26,False
2021-01-24,26,False
2021-01-31,25,False
2021-02-07,28,False
2021-02-14,26,False
2021-02-21,26,False
2021-02-28,28,False
2021-03-07,27,False
2021-03-14,25,False
2021-03-21,28,False
2021-03-28,25,False
2021-04-04,27,False
2021-04-11,23,False
2021-04-18,24,False
2021-04-25,23,False
2021-05-02,24,False
2021-05-09,24,False
2021-05-16,27,False
2021-05-23,23,False
2021-05-30,28,False
2021-06-06,26,False
2021-06-13,26,False
2021-06-20,24,False
2021-06-27,27,False
2021-07-04,22,False
2021-07-11,22,False
2021-07-18,24,False
2021-07-25,24,False
2021-08-01,24,False
2021-08-08,25,False
2021-08-15,23,False
2021-08-22,23,False
2021-08-29,22,False
2021-09-05,25,False
2021-09-12,25,True
