date,COP,isPartial
2020-09-27,28,False
2020-10-04,28,False
2020-10-11,26,False
2020-10-18,26,False
2020-10-25,27,False
2020-11-01,23,False
2020-11-08,26,False
2020-11-15,27,False
2020-11-22,25,False
2020-11-29,27,False
2020-12-06,25,False
2020-12-13,26,False
2020-12-20,29,False
2020-12-27,28,False
2021-01-03,31,False
2021-01-10,33,False
2021-01-17,28,False
2021-01-24,27,False
2021-01-31,27,False
2021-02-07,27,False
2021-02-14,26,False
2021-02-21,27,False
2021-02-28,28,False
2021-03-07,28,False
2021-03-14,28,False
2021-03-21,28,False
2021-03-28,29,False
2021-04-04,29,False
2021-04-11,42,False
2021-04-18,43,False
2021-04-25,32,False
2021-05-02,31,False
2021-05-09,29,False
2021-05-16,28,False
2021-05-23,27,False
2021-05-30,28,False
2021-06-06,27,False
2021-06-13,27,False
2021-06-20,28,False
2021-06-27,28,False
2021-07-04,27,False
2021-07-11,27,False
2021-07-18,28,False
2021-07-25,28,False
2021-08-01,27,False
2021-08-08,28,False
2021-08-15,26,False
2021-08-22,28,False
2021-08-29,28,False
2021-09-05,27,False
2021-09-12,28,True
