date,MS,isPartial
2019-06-16,52,False
2019-06-23,51,False
2019-06-30,52,False
2019-07-07,58,False
2019-07-14,51,False
2019-07-21,50,False
2019-07-28,49,False
2019-08-04,49,False
2019-08-11,48,False
2019-08-18,50,False
2019-08-25,49,False
2019-09-01,49,False
2019-09-08,52,False
2019-09-15,49,False
2019-09-22,48,False
2019-09-29,50,False
2019-10-06,48,False
2019-10-13,48,False
2019-10-20,49,False
2019-10-27,46,False
2019-11-03,48,False
2019-11-10,49,False
2019-11-17,47,False
2019-11-24,45,False
2019-12-01,47,False
2019-12-08,47,False
2019-12-15,47,False
2019-12-22,44,False
2019-12-29,45,False
2020-01-05,49,False
2020-01-12,49,False
2020-01-19,49,False
2020-01-26,49,False
2020-02-02,50,False
2020-02-09,49,False
2020-02-16,50,False
2020-02-23,49,False
2020-03-01,51,False
2020-03-08,49,False
2020-03-15,46,False
2020-03-22,44,False
2020-03-29,46,False
2020-04-05,43,False
2020-04-12,45,False
2020-04-19,46,False
2020-04-26,48,False
2020-05-03,49,False
2020-05-10,50,False
2020-05-17,50,False
2020-05-24,48,False
2020-05-31,49,False
2020-06-07,49,False
2020-06-14,56,False
2020-06-21,51,False
2020-06-28,51,False
2020-07-05,54,False
2020-07-12,49,False
2020-07-19,49,False
2020-07-26,48,False
2020-08-02,48,False
2020-08-09,55,False
2020-08-16,55,False
2020-08-23,51,False
2020-08-30,52,False
2020-09-06,50,False
2020-09-13,54,False
2020-09-20,51,False
2020-09-27,51,False
2020-10-04,53,False
2020-10-11,52,False
2020-10-18,50,False
2020-10-25,49,False
2020-11-01,46,False
2020-11-08,48,False
2020-11-15,51,False
2020-11-22,48,False
2020-11-29,49,False
2020-12-06,54,False
2020-12-13,49,False
2020-12-20,45,False
2020-12-27,47,False
2021-01-03,48,False
2021-01-10,51,False
2021-01-17,51,False
2021-01-24,51,False
2021-01-31,53,False
2021-02-07,51,False
2021-02-14,51,False
2021-02-21,54,False
2021-02-28,56,False
2021-03-07,53,False
2021-03-14,54,False
2021-03-21,54,False
2021-03-28,51,False
2021-04-04,53,False
2021-04-11,51,False
2021-04-18,52,False
2021-04-25,51,False
2021-05-02,52,False
2021-05-09,51,False
2021-05-16,55,False
2021-05-23,61,False
2021-05-30,60,False
2021-06-06,54,False
2021-06-13,53,False
2021-06-20,52,False
2021-06-27,52,False
2021-07-04,53,False
2021-07-11,49,False
2021-07-18,51,False
2021-07-25,49,False
2021-08-01,49,False
2021-08-08,52,False
2021-08-15,50,False
2021-08-22,52,False
2021-08-29,55,False
2021-09-05,51,False
2021-09-12,51,True
