date,BRK.B stock,isPartial
2019-02-24,22,False
2019-03-03,17,False
2019-03-10,17,False
2019-03-17,5,False
2019-03-24,21,False
2019-03-31,17,False
2019-04-07,12,False
2019-04-14,23,False
2019-04-21,32,False
2019-04-28,47,False
2019-05-05,19,False
2019-05-12,36,False
2019-05-19,15,False
2019-05-26,10,False
2019-06-02,19,False
2019-06-09,15,False
2019-06-16,14,False
2019-06-23,14,False
2019-06-30,14,False
2019-07-07,5,False
2019-07-14,14,False
2019-07-21,9,False
2019-07-28,14,False
2019-08-04,26,False
2019-08-11,21,False
2019-08-18,21,False
2019-08-25,25,False
2019-09-01,20,False
2019-09-08,15,False
2019-09-15,20,False
2019-09-22,10,False
2019-09-29,11,False
2019-10-06,28,False
2019-10-13,13,False
2019-10-20,10,False
2019-10-27,22,False
2019-11-03,25,False
2019-11-10,11,False
2019-11-17,21,False
2019-11-24,8,False
2019-12-01,14,False
2019-12-08,11,False
2019-12-15,16,False
2019-12-22,11,False
2019-12-29,15,False
2020-01-05,20,False
2020-01-12,30,False
2020-01-19,25,False
2020-01-26,23,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,21,False
2020-02-23,57,False
2020-03-01,34,False
2020-03-08,100,False
2020-03-15,76,False
2020-03-22,69,False
2020-03-29,63,False
2020-04-05,76,False
2020-04-12,59,False
2020-04-19,78,False
2020-04-26,75,False
2020-05-03,86,False
2020-05-10,59,False
2020-05-17,66,False
2020-05-24,64,False
2020-05-31,36,False
2020-06-07,57,False
2020-06-14,38,False
2020-06-21,54,False
2020-06-28,33,False
2020-07-05,39,False
2020-07-12,43,False
2020-07-19,41,False
2020-07-26,45,False
2020-08-02,33,False
2020-08-09,49,False
2020-08-16,40,False
2020-08-23,51,False
2020-08-30,56,False
2020-09-06,45,False
2020-09-13,41,False
2020-09-20,35,False
2020-09-27,26,False
2020-10-04,25,False
2020-10-11,40,False
2020-10-18,28,False
2020-10-25,25,False
2020-11-01,24,False
2020-11-08,50,False
2020-11-15,47,False
2020-11-22,41,False
2020-11-29,28,False
2020-12-06,29,False
2020-12-13,18,False
2020-12-20,19,False
2020-12-27,24,False
2021-01-03,32,False
2021-01-10,20,False
2021-01-17,21,False
2021-01-24,32,False
2021-01-31,32,False
2021-02-07,29,False
2021-02-14,44,False
2021-02-21,48,False
2021-02-28,42,False
2021-03-07,46,False
2021-03-14,39,False
2021-03-21,41,False
2021-03-28,37,False
2021-04-04,28,False
2021-04-11,29,False
2021-04-18,26,False
2021-04-25,33,False
2021-05-02,56,False
2021-05-09,58,False
2021-05-16,35,False
2021-05-23,49,False
2021-05-30,24,False
2021-06-06,34,False
2021-06-13,44,False
2021-06-20,28,False
2021-06-27,22,False
2021-07-04,22,False
2021-07-11,22,False
2021-07-18,18,False
2021-07-25,30,False
2021-08-01,25,False
2021-08-08,31,True
