date,BMY,isPartial
2021-04-04,52,False
2021-04-11,48,False
2021-04-18,42,False
2021-04-25,57,False
2021-05-02,41,False
2021-05-09,53,False
2021-05-16,43,False
2021-05-23,56,False
2021-05-30,43,False
2021-06-06,48,False
2021-06-13,33,False
2021-06-20,44,False
2021-06-27,39,False
2021-07-04,33,False
2021-07-11,41,False
2021-07-18,23,False
2021-07-25,44,False
2021-08-01,42,False
2021-08-08,43,False
2021-08-15,26,False
2021-08-22,39,False
2021-08-29,32,False
2021-09-05,33,True
