date,JNJ,isPartial
2019-09-15,25,False
2019-09-22,25,False
2019-09-29,32,False
2019-10-06,30,False
2019-10-13,42,False
2019-10-20,37,False
2019-10-27,35,False
2019-11-03,27,False
2019-11-10,26,False
2019-11-17,23,False
2019-11-24,24,False
2019-12-01,26,False
2019-12-08,20,False
2019-12-15,32,False
2019-12-22,15,False
2019-12-29,22,False
2020-01-05,27,False
2020-01-12,29,False
2020-01-19,32,False
2020-01-26,33,False
2020-02-02,28,False
2020-02-09,25,False
2020-02-16,25,False
2020-02-23,35,False
2020-03-01,37,False
2020-03-08,53,False
2020-03-15,44,False
2020-03-22,48,False
2020-03-29,73,False
2020-04-05,48,False
2020-04-12,62,False
2020-04-19,50,False
2020-04-26,43,False
2020-05-03,33,False
2020-05-10,30,False
2020-05-17,39,False
2020-05-24,30,False
2020-05-31,31,False
2020-06-07,34,False
2020-06-14,33,False
2020-06-21,31,False
2020-06-28,30,False
2020-07-05,25,False
2020-07-12,50,False
2020-07-19,39,False
2020-07-26,31,False
2020-08-02,39,False
2020-08-09,33,False
2020-08-16,35,False
2020-08-23,36,False
2020-08-30,30,False
2020-09-06,30,False
2020-09-13,26,False
2020-09-20,35,False
2020-09-27,33,False
2020-10-04,30,False
2020-10-11,41,False
2020-10-18,34,False
2020-10-25,30,False
2020-11-01,30,False
2020-11-08,36,False
2020-11-15,38,False
2020-11-22,27,False
2020-11-29,39,False
2020-12-06,36,False
2020-12-13,35,False
2020-12-20,30,False
2020-12-27,29,False
2021-01-03,35,False
2021-01-10,52,False
2021-01-17,51,False
2021-01-24,100,False
2021-01-31,69,False
2021-02-07,53,False
2021-02-14,41,False
2021-02-21,70,False
2021-02-28,83,False
2021-03-07,63,False
2021-03-14,51,False
2021-03-21,41,False
2021-03-28,51,False
2021-04-04,53,False
2021-04-11,92,False
2021-04-18,59,False
2021-04-25,42,False
2021-05-02,36,False
2021-05-09,33,False
2021-05-16,34,False
2021-05-23,30,False
2021-05-30,32,False
2021-06-06,30,False
2021-06-13,29,False
2021-06-20,30,False
2021-06-27,27,False
2021-07-04,24,False
2021-07-11,41,False
2021-07-18,42,False
2021-07-25,35,False
2021-08-01,35,False
2021-08-08,34,False
2021-08-15,37,False
2021-08-22,41,False
2021-08-29,31,True
