date,ADBE,isPartial
2018-07-29,42,False
2018-08-05,41,False
2018-08-12,35,False
2018-08-19,35,False
2018-08-26,51,False
2018-09-02,31,False
2018-09-09,78,False
2018-09-16,51,False
2018-09-23,40,False
2018-09-30,43,False
2018-10-07,59,False
2018-10-14,78,False
2018-10-21,46,False
2018-10-28,43,False
2018-11-04,35,False
2018-11-11,38,False
2018-11-18,46,False
2018-11-25,42,False
2018-12-02,44,False
2018-12-09,72,False
2018-12-16,50,False
2018-12-23,46,False
2018-12-30,43,False
2019-01-06,51,False
2019-01-13,45,False
2019-01-20,37,False
2019-01-27,43,False
2019-02-03,53,False
2019-02-10,41,False
2019-02-17,36,False
2019-02-24,46,False
2019-03-03,34,False
2019-03-10,52,False
2019-03-17,35,False
2019-03-24,40,False
2019-03-31,45,False
2019-04-07,32,False
2019-04-14,30,False
2019-04-21,52,False
2019-04-28,31,False
2019-05-05,32,False
2019-05-12,32,False
2019-05-19,26,False
2019-05-26,31,False
2019-06-02,27,False
2019-06-09,26,False
2019-06-16,82,False
2019-06-23,41,False
2019-06-30,34,False
2019-07-07,36,False
2019-07-14,30,False
2019-07-21,34,False
2019-07-28,25,False
2019-08-04,32,False
2019-08-11,30,False
2019-08-18,30,False
2019-08-25,36,False
2019-09-01,25,False
2019-09-08,32,False
2019-09-15,69,False
2019-09-22,30,False
2019-09-29,35,False
2019-10-06,23,False
2019-10-13,39,False
2019-10-20,39,False
2019-10-27,35,False
2019-11-03,45,False
2019-11-10,34,False
2019-11-17,31,False
2019-11-24,39,False
2019-12-01,34,False
2019-12-08,60,False
2019-12-15,43,False
2019-12-22,34,False
2019-12-29,37,False
2020-01-05,50,False
2020-01-12,46,False
2020-01-19,44,False
2020-01-26,41,False
2020-02-02,36,False
2020-02-09,39,False
2020-02-16,36,False
2020-02-23,54,False
2020-03-01,52,False
2020-03-08,71,False
2020-03-15,77,False
2020-03-22,50,False
2020-03-29,40,False
2020-04-05,36,False
2020-04-12,49,False
2020-04-19,41,False
2020-04-26,40,False
2020-05-03,44,False
2020-05-10,46,False
2020-05-17,39,False
2020-05-24,32,False
2020-05-31,53,False
2020-06-07,73,False
2020-06-14,68,False
2020-06-21,66,False
2020-06-28,45,False
2020-07-05,52,False
2020-07-12,61,False
2020-07-19,47,False
2020-07-26,54,False
2020-08-02,51,False
2020-08-09,47,False
2020-08-16,38,False
2020-08-23,77,False
2020-08-30,71,False
2020-09-06,57,False
2020-09-13,100,False
2020-09-20,55,False
2020-09-27,48,False
2020-10-04,41,False
2020-10-11,41,False
2020-10-18,42,False
2020-10-25,36,False
2020-11-01,45,False
2020-11-08,45,False
2020-11-15,48,False
2020-11-22,33,False
2020-11-29,35,False
2020-12-06,77,False
2020-12-13,42,False
2020-12-20,30,False
2020-12-27,36,False
2021-01-03,40,False
2021-01-10,39,False
2021-01-17,42,False
2021-01-24,44,False
2021-01-31,39,False
2021-02-07,48,False
2021-02-14,32,False
2021-02-21,37,False
2021-02-28,47,False
2021-03-07,45,False
2021-03-14,34,False
2021-03-21,61,False
2021-03-28,35,False
2021-04-04,40,False
2021-04-11,36,False
2021-04-18,33,False
2021-04-25,34,False
2021-05-02,30,False
2021-05-09,28,False
2021-05-16,28,False
2021-05-23,25,False
2021-05-30,18,False
2021-06-06,46,False
2021-06-13,72,False
2021-06-20,54,False
2021-06-27,47,False
2021-07-04,37,False
2021-07-11,36,False
2021-07-18,38,False
2021-07-25,41,False
2021-08-01,31,False
2021-08-08,33,False
2021-08-15,27,False
2021-08-22,33,False
2021-08-29,24,False
2021-09-05,32,False
2021-09-12,25,False
2021-09-19,63,True
