date,CHTR,isPartial
2019-02-10,24,False
2019-02-17,56,False
2019-02-24,28,False
2019-03-03,29,False
2019-03-10,28,False
2019-03-17,39,False
2019-03-24,24,False
2019-03-31,43,False
2019-04-07,33,False
2019-04-14,15,False
2019-04-21,20,False
2019-04-28,33,False
2019-05-05,24,False
2019-05-12,34,False
2019-05-19,33,False
2019-05-26,24,False
2019-06-02,28,False
2019-06-09,19,False
2019-06-16,19,False
2019-06-23,52,False
2019-06-30,14,False
2019-07-07,33,False
2019-07-14,29,False
2019-07-21,55,False
2019-07-28,20,False
2019-08-04,10,False
2019-08-11,24,False
2019-08-18,43,False
2019-08-25,37,False
2019-09-01,23,False
2019-09-08,36,False
2019-09-15,27,False
2019-09-22,18,False
2019-09-29,45,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,40,False
2019-10-27,22,False
2019-11-03,31,False
2019-11-10,31,False
2019-11-17,31,False
2019-11-24,22,False
2019-12-01,27,False
2019-12-08,45,False
2019-12-15,27,False
2019-12-22,30,False
2019-12-29,14,False
2020-01-05,39,False
2020-01-12,80,False
2020-01-19,43,False
2020-01-26,51,False
2020-02-02,47,False
2020-02-09,38,False
2020-02-16,38,False
2020-02-23,49,False
2020-03-01,20,False
2020-03-08,53,False
2020-03-15,44,False
2020-03-22,50,False
2020-03-29,27,False
2020-04-05,39,False
2020-04-12,23,False
2020-04-19,27,False
2020-04-26,61,False
2020-05-03,34,False
2020-05-10,12,False
2020-05-17,31,False
2020-05-24,16,False
2020-05-31,35,False
2020-06-07,31,False
2020-06-14,24,False
2020-06-21,12,False
2020-06-28,33,False
2020-07-05,25,False
2020-07-12,34,False
2020-07-19,21,False
2020-07-26,51,False
2020-08-02,21,False
2020-08-09,41,False
2020-08-16,37,False
2020-08-23,33,False
2020-08-30,40,False
2020-09-06,49,False
2020-09-13,32,False
2020-09-20,24,False
2020-09-27,12,False
2020-10-04,12,False
2020-10-11,39,False
2020-10-18,30,False
2020-10-25,56,False
2020-11-01,40,False
2020-11-08,42,False
2020-11-15,9,False
2020-11-22,9,False
2020-11-29,29,False
2020-12-06,21,False
2020-12-13,38,False
2020-12-20,32,False
2020-12-27,45,False
2021-01-03,34,False
2021-01-10,38,False
2021-01-17,34,False
2021-01-24,63,False
2021-01-31,59,False
2021-02-07,55,False
2021-02-14,38,False
2021-02-21,13,False
2021-02-28,17,False
2021-03-07,21,False
2021-03-14,59,False
2021-03-21,46,False
2021-03-28,26,False
2021-04-04,47,False
2021-04-11,38,False
2021-04-18,38,False
2021-04-25,34,False
2021-05-02,34,False
2021-05-09,35,False
2021-05-16,34,False
2021-05-23,34,False
2021-05-30,4,False
2021-06-06,17,False
2021-06-13,17,False
2021-06-20,22,False
2021-06-27,13,False
2021-07-04,13,False
2021-07-11,31,False
2021-07-18,55,False
2021-07-25,39,False
2021-08-01,13,False
2021-08-08,27,False
2021-08-15,27,False
2021-08-22,42,False
2021-08-29,46,False
2021-09-05,27,True
