date,MMM,isPartial
2021-05-02,19,False
2021-05-09,20,False
2021-05-16,20,False
2021-05-23,18,False
2021-05-30,18,False
2021-06-06,19,False
2021-06-13,19,False
2021-06-20,19,False
2021-06-27,20,False
2021-07-04,18,False
2021-07-11,17,False
2021-07-18,21,False
2021-07-25,19,False
2021-08-01,17,False
2021-08-08,19,False
2021-08-15,19,True
