date,PEP stock,isPartial
2018-10-14,29,False
2018-10-21,29,False
2018-10-28,32,False
2018-11-04,19,False
2018-11-11,42,False
2018-11-18,51,False
2018-11-25,31,False
2018-12-02,48,False
2018-12-09,39,False
2018-12-16,30,False
2018-12-23,18,False
2018-12-30,41,False
2019-01-06,19,False
2019-01-13,28,False
2019-01-20,25,False
2019-01-27,34,False
2019-02-03,22,False
2019-02-10,43,False
2019-02-17,40,False
2019-02-24,37,False
2019-03-03,44,False
2019-03-10,25,False
2019-03-17,35,False
2019-03-24,41,False
2019-03-31,35,False
2019-04-07,31,False
2019-04-14,56,False
2019-04-21,36,False
2019-04-28,28,False
2019-05-05,32,False
2019-05-12,35,False
2019-05-19,31,False
2019-05-26,28,False
2019-06-02,31,False
2019-06-09,37,False
2019-06-16,54,False
2019-06-23,22,False
2019-06-30,29,False
2019-07-07,69,False
2019-07-14,35,False
2019-07-21,33,False
2019-07-28,19,False
2019-08-04,32,False
2019-08-11,54,False
2019-08-18,19,False
2019-08-25,40,False
2019-09-01,15,False
2019-09-08,24,False
2019-09-15,33,False
2019-09-22,24,False
2019-09-29,65,False
2019-10-06,33,False
2019-10-13,24,False
2019-10-20,26,False
2019-10-27,35,False
2019-11-03,35,False
2019-11-10,64,False
2019-11-17,23,False
2019-11-24,32,False
2019-12-01,41,False
2019-12-08,33,False
2019-12-15,18,False
2019-12-22,39,False
2019-12-29,25,False
2020-01-05,43,False
2020-01-12,22,False
2020-01-19,26,False
2020-01-26,20,False
2020-02-02,30,False
2020-02-09,67,False
2020-02-16,22,False
2020-02-23,76,False
2020-03-01,54,False
2020-03-08,77,False
2020-03-15,79,False
2020-03-22,95,False
2020-03-29,63,False
2020-04-05,91,False
2020-04-12,67,False
2020-04-19,70,False
2020-04-26,61,False
2020-05-03,47,False
2020-05-10,44,False
2020-05-17,85,False
2020-05-24,52,False
2020-05-31,43,False
2020-06-07,54,False
2020-06-14,36,False
2020-06-21,56,False
2020-06-28,53,False
2020-07-05,44,False
2020-07-12,72,False
2020-07-19,70,False
2020-07-26,45,False
2020-08-02,47,False
2020-08-09,41,False
2020-08-16,43,False
2020-08-23,32,False
2020-08-30,34,False
2020-09-06,61,False
2020-09-13,31,False
2020-09-20,56,False
2020-09-27,83,False
2020-10-04,38,False
2020-10-11,45,False
2020-10-18,23,False
2020-10-25,31,False
2020-11-01,32,False
2020-11-08,42,False
2020-11-15,28,False
2020-11-22,22,False
2020-11-29,25,False
2020-12-06,22,False
2020-12-13,31,False
2020-12-20,25,False
2020-12-27,54,False
2021-01-03,56,False
2021-01-10,59,False
2021-01-17,28,False
2021-01-24,61,False
2021-01-31,50,False
2021-02-07,77,False
2021-02-14,78,False
2021-02-21,33,False
2021-02-28,58,False
2021-03-07,42,False
2021-03-14,63,False
2021-03-21,66,False
2021-03-28,23,False
2021-04-04,31,False
2021-04-11,48,False
2021-04-18,36,False
2021-04-25,33,False
2021-05-02,42,False
2021-05-09,34,False
2021-05-16,62,False
2021-05-23,25,False
2021-05-30,43,False
2021-06-06,34,False
2021-06-13,25,False
2021-06-20,43,False
2021-06-27,23,False
2021-07-04,32,False
2021-07-11,70,False
2021-07-18,39,False
2021-07-25,54,False
2021-08-01,44,False
2021-08-08,37,True
