date,WBA,isPartial
2019-03-31,27,False
2019-04-07,26,False
2019-04-14,24,False
2019-04-21,21,False
2019-04-28,20,False
2019-05-05,37,False
2019-05-12,49,False
2019-05-19,23,False
2019-05-26,17,False
2019-06-02,20,False
2019-06-09,26,False
2019-06-16,22,False
2019-06-23,22,False
2019-06-30,25,False
2019-07-07,28,False
2019-07-14,29,False
2019-07-21,36,False
2019-07-28,32,False
2019-08-04,41,False
2019-08-11,27,False
2019-08-18,27,False
2019-08-25,18,False
2019-09-01,17,False
2019-09-08,17,False
2019-09-15,16,False
2019-09-22,24,False
2019-09-29,23,False
2019-10-06,20,False
2019-10-13,18,False
2019-10-20,27,False
2019-10-27,22,False
2019-11-03,31,False
2019-11-10,29,False
2019-11-17,23,False
2019-11-24,26,False
2019-12-01,25,False
2019-12-08,38,False
2019-12-15,20,False
2019-12-22,26,False
2019-12-29,33,False
2020-01-05,34,False
2020-01-12,30,False
2020-01-19,34,False
2020-01-26,43,False
2020-02-02,22,False
2020-02-09,37,False
2020-02-16,22,False
2020-02-23,38,False
2020-03-01,29,False
2020-03-08,22,False
2020-03-15,18,False
2020-03-22,15,False
2020-03-29,19,False
2020-04-05,14,False
2020-04-12,14,False
2020-04-19,14,False
2020-04-26,12,False
2020-05-03,14,False
2020-05-10,16,False
2020-05-17,17,False
2020-05-24,13,False
2020-05-31,16,False
2020-06-07,18,False
2020-06-14,18,False
2020-06-21,24,False
2020-06-28,24,False
2020-07-05,44,False
2020-07-12,35,False
2020-07-19,35,False
2020-07-26,23,False
2020-08-02,20,False
2020-08-09,22,False
2020-08-16,23,False
2020-08-23,27,False
2020-08-30,33,False
2020-09-06,30,False
2020-09-13,54,False
2020-09-20,64,False
2020-09-27,29,False
2020-10-04,25,False
2020-10-11,23,False
2020-10-18,26,False
2020-10-25,25,False
2020-11-01,20,False
2020-11-08,33,False
2020-11-15,35,False
2020-11-22,25,False
2020-11-29,21,False
2020-12-06,31,False
2020-12-13,58,False
2020-12-20,31,False
2020-12-27,100,False
2021-01-03,36,False
2021-01-10,38,False
2021-01-17,29,False
2021-01-24,66,False
2021-01-31,33,False
2021-02-07,28,False
2021-02-14,48,False
2021-02-21,24,False
2021-02-28,29,False
2021-03-07,24,False
2021-03-14,15,False
2021-03-21,14,False
2021-03-28,44,False
2021-04-04,21,False
2021-04-11,25,False
2021-04-18,24,False
2021-04-25,24,False
2021-05-02,26,False
2021-05-09,35,False
2021-05-16,62,False
2021-05-23,21,False
2021-05-30,17,False
2021-06-06,20,False
2021-06-13,20,False
2021-06-20,22,False
2021-06-27,26,False
2021-07-04,22,False
2021-07-11,20,False
2021-07-18,26,False
2021-07-25,25,False
2021-08-01,30,False
2021-08-08,30,False
2021-08-15,33,False
2021-08-22,51,True
