date,DOW stock,isPartial
2019-01-06,18,False
2019-01-13,14,False
2019-01-20,12,False
2019-01-27,14,False
2019-02-03,12,False
2019-02-10,13,False
2019-02-17,12,False
2019-02-24,12,False
2019-03-03,12,False
2019-03-10,13,False
2019-03-17,12,False
2019-03-24,12,False
2019-03-31,14,False
2019-04-07,12,False
2019-04-14,11,False
2019-04-21,11,False
2019-04-28,13,False
2019-05-05,17,False
2019-05-12,18,False
2019-05-19,13,False
2019-05-26,12,False
2019-06-02,13,False
2019-06-09,12,False
2019-06-16,12,False
2019-06-23,11,False
2019-06-30,10,False
2019-07-07,11,False
2019-07-14,11,False
2019-07-21,10,False
2019-07-28,11,False
2019-08-04,18,False
2019-08-11,21,False
2019-08-18,16,False
2019-08-25,16,False
2019-09-01,10,False
2019-09-08,13,False
2019-09-15,12,False
2019-09-22,12,False
2019-09-29,12,False
2019-10-06,13,False
2019-10-13,11,False
2019-10-20,10,False
2019-10-27,11,False
2019-11-03,12,False
2019-11-10,10,False
2019-11-17,11,False
2019-11-24,7,False
2019-12-01,11,False
2019-12-08,12,False
2019-12-15,11,False
2019-12-22,9,False
2019-12-29,11,False
2020-01-05,14,False
2020-01-12,12,False
2020-01-19,11,False
2020-01-26,17,False
2020-02-02,17,False
2020-02-09,14,False
2020-02-16,12,False
2020-02-23,48,False
2020-03-01,43,False
2020-03-08,95,False
2020-03-15,100,False
2020-03-22,80,False
2020-03-29,53,False
2020-04-05,48,False
2020-04-12,47,False
2020-04-19,43,False
2020-04-26,39,False
2020-05-03,35,False
2020-05-10,35,False
2020-05-17,35,False
2020-05-24,28,False
2020-05-31,33,False
2020-06-07,43,False
2020-06-14,37,False
2020-06-21,35,False
2020-06-28,27,False
2020-07-05,29,False
2020-07-12,31,False
2020-07-19,27,False
2020-07-26,29,False
2020-08-02,23,False
2020-08-09,27,False
2020-08-16,21,False
2020-08-23,22,False
2020-08-30,29,False
2020-09-06,24,False
2020-09-13,22,False
2020-09-20,25,False
2020-09-27,22,False
2020-10-04,22,False
2020-10-11,20,False
2020-10-18,19,False
2020-10-25,26,False
2020-11-01,23,False
2020-11-08,29,False
2020-11-15,26,False
2020-11-22,19,False
2020-11-29,21,False
2020-12-06,21,False
2020-12-13,20,False
2020-12-20,18,False
2020-12-27,17,False
2021-01-03,25,False
2021-01-10,23,False
2021-01-17,20,False
2021-01-24,30,False
2021-01-31,26,False
2021-02-07,21,False
2021-02-14,19,False
2021-02-21,25,False
2021-02-28,26,False
2021-03-07,25,False
2021-03-14,22,False
2021-03-21,20,False
2021-03-28,17,False
2021-04-04,18,False
2021-04-11,16,False
2021-04-18,18,False
2021-04-25,17,False
2021-05-02,16,False
2021-05-09,21,False
2021-05-16,19,False
2021-05-23,15,False
2021-05-30,14,False
2021-06-06,15,False
2021-06-13,16,False
2021-06-20,16,False
2021-06-27,13,False
2021-07-04,14,False
2021-07-11,14,False
2021-07-18,21,False
2021-07-25,16,False
2021-08-01,14,False
2021-08-08,16,True
