date,ENPH,isPartial
2021-05-02,46,False
2021-05-09,34,False
2021-05-16,33,False
2021-05-23,28,False
2021-05-30,16,False
2021-06-06,24,False
2021-06-13,29,False
2021-06-20,27,False
2021-06-27,40,False
2021-07-04,25,False
2021-07-11,24,False
2021-07-18,28,False
2021-07-25,33,False
2021-08-01,36,False
2021-08-08,21,True
