date,CTXS,isPartial
2019-02-03,15,False
2019-02-10,10,False
2019-02-17,10,False
2019-02-24,10,False
2019-03-03,40,False
2019-03-10,59,False
2019-03-17,25,False
2019-03-24,40,False
2019-03-31,35,False
2019-04-07,20,False
2019-04-14,16,False
2019-04-21,20,False
2019-04-28,5,False
2019-05-05,15,False
2019-05-12,15,False
2019-05-19,25,False
2019-05-26,20,False
2019-06-02,34,False
2019-06-09,15,False
2019-06-16,15,False
2019-06-23,15,False
2019-06-30,0,False
2019-07-07,39,False
2019-07-14,20,False
2019-07-21,30,False
2019-07-28,15,False
2019-08-04,26,False
2019-08-11,40,False
2019-08-18,40,False
2019-08-25,19,False
2019-09-01,10,False
2019-09-08,28,False
2019-09-15,24,False
2019-09-22,14,False
2019-09-29,9,False
2019-10-06,14,False
2019-10-13,33,False
2019-10-20,47,False
2019-10-27,28,False
2019-11-03,0,False
2019-11-10,18,False
2019-11-17,28,False
2019-11-24,23,False
2019-12-01,32,False
2019-12-08,19,False
2019-12-15,19,False
2019-12-22,15,False
2019-12-29,20,False
2020-01-05,18,False
2020-01-12,30,False
2020-01-19,77,False
2020-01-26,44,False
2020-02-02,13,False
2020-02-09,4,False
2020-02-16,13,False
2020-02-23,17,False
2020-03-01,25,False
2020-03-08,55,False
2020-03-15,75,False
2020-03-22,36,False
2020-03-29,52,False
2020-04-05,57,False
2020-04-12,77,False
2020-04-19,92,False
2020-04-26,44,False
2020-05-03,36,False
2020-05-10,52,False
2020-05-17,45,False
2020-05-24,29,False
2020-05-31,16,False
2020-06-07,28,False
2020-06-14,24,False
2020-06-21,26,False
2020-06-28,13,False
2020-07-05,26,False
2020-07-12,44,False
2020-07-19,100,False
2020-07-26,44,False
2020-08-02,62,False
2020-08-09,48,False
2020-08-16,52,False
2020-08-23,30,False
2020-08-30,25,False
2020-09-06,17,False
2020-09-13,29,False
2020-09-20,33,False
2020-09-27,26,False
2020-10-04,30,False
2020-10-11,55,False
2020-10-18,59,False
2020-10-25,36,False
2020-11-01,25,False
2020-11-08,22,False
2020-11-15,4,False
2020-11-22,9,False
2020-11-29,26,False
2020-12-06,18,False
2020-12-13,13,False
2020-12-20,15,False
2020-12-27,14,False
2021-01-03,13,False
2021-01-10,18,False
2021-01-17,35,False
2021-01-24,48,False
2021-01-31,31,False
2021-02-07,26,False
2021-02-14,13,False
2021-02-21,35,False
2021-02-28,13,False
2021-03-07,13,False
2021-03-14,37,False
2021-03-21,18,False
2021-03-28,19,False
2021-04-04,35,False
2021-04-11,40,False
2021-04-18,35,False
2021-04-25,53,False
2021-05-02,35,False
2021-05-09,31,False
2021-05-16,18,False
2021-05-23,32,False
2021-05-30,23,False
2021-06-06,49,False
2021-06-13,4,False
2021-06-20,4,False
2021-06-27,18,False
2021-07-04,9,False
2021-07-11,9,False
2021-07-18,24,False
2021-07-25,68,False
2021-08-01,18,False
2021-08-08,32,True
