date,SYF,isPartial
2019-11-17,23,False
2019-11-24,29,False
2019-12-01,26,False
2019-12-08,31,False
2019-12-15,35,False
2019-12-22,21,False
2019-12-29,31,False
2020-01-05,28,False
2020-01-12,22,False
2020-01-19,21,False
2020-01-26,22,False
2020-02-02,33,False
2020-02-09,21,False
2020-02-16,32,False
2020-02-23,24,False
2020-03-01,27,False
2020-03-08,45,False
2020-03-15,26,False
2020-03-22,25,False
2020-03-29,30,False
2020-04-05,23,False
2020-04-12,36,False
2020-04-19,30,False
2020-04-26,25,False
2020-05-03,38,False
2020-05-10,40,False
2020-05-17,30,False
2020-05-24,39,False
2020-05-31,41,False
2020-06-07,28,False
2020-06-14,31,False
2020-06-21,23,False
2020-06-28,22,False
2020-07-05,22,False
2020-07-12,27,False
2020-07-19,31,False
2020-07-26,23,False
2020-08-02,29,False
2020-08-09,22,False
2020-08-16,12,False
2020-08-23,20,False
2020-08-30,25,False
2020-09-06,27,False
2020-09-13,19,False
2020-09-20,31,False
2020-09-27,34,False
2020-10-04,37,False
2020-10-11,29,False
2020-10-18,38,False
2020-10-25,24,False
2020-11-01,30,False
2020-11-08,24,False
2020-11-15,26,False
2020-11-22,37,False
2020-11-29,28,False
2020-12-06,38,False
2020-12-13,33,False
2020-12-20,41,False
2020-12-27,44,False
2021-01-03,39,False
2021-01-10,32,False
2021-01-17,37,False
2021-01-24,23,False
2021-01-31,28,False
2021-02-07,30,False
2021-02-14,27,False
2021-02-21,42,False
2021-02-28,39,False
2021-03-07,32,False
2021-03-14,41,False
2021-03-21,39,False
2021-03-28,33,False
2021-04-04,46,False
2021-04-11,38,False
2021-04-18,51,False
2021-04-25,48,False
2021-05-02,43,False
2021-05-09,31,False
2021-05-16,32,False
2021-05-23,19,False
2021-05-30,35,False
2021-06-06,25,False
2021-06-13,22,False
2021-06-20,30,False
2021-06-27,19,False
2021-07-04,24,False
2021-07-11,22,False
2021-07-18,36,False
2021-07-25,26,False
2021-08-01,27,False
2021-08-08,30,True
