date,NTAP,isPartial
2020-04-12,17,False
2020-04-19,15,False
2020-04-26,23,False
2020-05-03,25,False
2020-05-10,27,False
2020-05-17,23,False
2020-05-24,45,False
2020-05-31,30,False
2020-06-07,23,False
2020-06-14,31,False
2020-06-21,24,False
2020-06-28,26,False
2020-07-05,22,False
2020-07-12,39,False
2020-07-19,16,False
2020-07-26,14,False
2020-08-02,13,False
2020-08-09,45,False
2020-08-16,27,False
2020-08-23,58,False
2020-08-30,44,False
2020-09-06,28,False
2020-09-13,28,False
2020-09-20,23,False
2020-09-27,14,False
2020-10-04,22,False
2020-10-11,30,False
2020-10-18,11,False
2020-10-25,21,False
2020-11-01,16,False
2020-11-08,44,False
2020-11-15,27,False
2020-11-22,19,False
2020-11-29,60,False
2020-12-06,37,False
2020-12-13,55,False
2020-12-20,23,False
2020-12-27,27,False
2021-01-03,32,False
2021-01-10,15,False
2021-01-17,23,False
2021-01-24,33,False
2021-01-31,37,False
2021-02-07,40,False
2021-02-14,21,False
2021-02-21,48,False
2021-02-28,23,False
2021-03-07,25,False
2021-03-14,25,False
2021-03-21,23,False
2021-03-28,22,False
2021-04-04,19,False
2021-04-11,33,False
2021-04-18,17,False
2021-04-25,21,False
2021-05-02,23,False
2021-05-09,28,False
2021-05-16,19,False
2021-05-23,30,False
2021-05-30,63,False
2021-06-06,32,False
2021-06-13,11,False
2021-06-20,30,False
2021-06-27,24,False
2021-07-04,17,False
2021-07-11,26,False
2021-07-18,20,False
2021-07-25,24,False
2021-08-01,20,False
2021-08-08,21,True
