date,ETN,isPartial
2021-04-11,26,False
2021-04-18,30,False
2021-04-25,31,False
2021-05-02,30,False
2021-05-09,28,False
2021-05-16,28,False
2021-05-23,30,False
2021-05-30,29,False
2021-06-06,26,False
2021-06-13,32,False
2021-06-20,25,False
2021-06-27,27,False
2021-07-04,30,False
2021-07-11,36,False
2021-07-18,30,False
2021-07-25,27,False
2021-08-01,28,False
2021-08-08,29,True
