date,ILMN,isPartial
2019-07-21,32,False
2019-07-28,44,False
2019-08-04,38,False
2019-08-11,23,False
2019-08-18,35,False
2019-08-25,14,False
2019-09-01,18,False
2019-09-08,33,False
2019-09-15,16,False
2019-09-22,21,False
2019-09-29,8,False
2019-10-06,21,False
2019-10-13,23,False
2019-10-20,49,False
2019-10-27,35,False
2019-11-03,6,False
2019-11-10,23,False
2019-11-17,36,False
2019-11-24,19,False
2019-12-01,19,False
2019-12-08,25,False
2019-12-15,25,False
2019-12-22,32,False
2019-12-29,32,False
2020-01-05,24,False
2020-01-12,43,False
2020-01-19,22,False
2020-01-26,41,False
2020-02-02,35,False
2020-02-09,18,False
2020-02-16,16,False
2020-02-23,26,False
2020-03-01,31,False
2020-03-08,28,False
2020-03-15,34,False
2020-03-22,51,False
2020-03-29,26,False
2020-04-05,22,False
2020-04-12,33,False
2020-04-19,31,False
2020-04-26,26,False
2020-05-03,23,False
2020-05-10,35,False
2020-05-17,39,False
2020-05-24,27,False
2020-05-31,41,False
2020-06-07,32,False
2020-06-14,19,False
2020-06-21,19,False
2020-06-28,25,False
2020-07-05,25,False
2020-07-12,20,False
2020-07-19,20,False
2020-07-26,41,False
2020-08-02,54,False
2020-08-09,37,False
2020-08-16,25,False
2020-08-23,25,False
2020-08-30,41,False
2020-09-06,35,False
2020-09-13,48,False
2020-09-20,100,False
2020-09-27,57,False
2020-10-04,32,False
2020-10-11,50,False
2020-10-18,22,False
2020-10-25,31,False
2020-11-01,21,False
2020-11-08,26,False
2020-11-15,28,False
2020-11-22,20,False
2020-11-29,55,False
2020-12-06,24,False
2020-12-13,27,False
2020-12-20,22,False
2020-12-27,23,False
2021-01-03,32,False
2021-01-10,33,False
2021-01-17,40,False
2021-01-24,53,False
2021-01-31,46,False
2021-02-07,72,False
2021-02-14,46,False
2021-02-21,47,False
2021-02-28,31,False
2021-03-07,31,False
2021-03-14,37,False
2021-03-21,20,False
2021-03-28,25,False
2021-04-04,37,False
2021-04-11,18,False
2021-04-18,24,False
2021-04-25,27,False
2021-05-02,20,False
2021-05-09,11,False
2021-05-16,15,False
2021-05-23,17,False
2021-05-30,24,False
2021-06-06,11,False
2021-06-13,11,False
2021-06-20,19,False
2021-06-27,26,False
2021-07-04,31,False
2021-07-11,19,False
2021-07-18,29,False
2021-07-25,23,False
2021-08-01,42,False
2021-08-08,29,True
