date,FISV,isPartial
2020-08-23,70,False
2020-08-30,46,False
2020-09-06,18,False
2020-09-13,55,False
2020-09-20,32,False
2020-09-27,42,False
2020-10-04,37,False
2020-10-11,35,False
2020-10-18,29,False
2020-10-25,20,False
2020-11-01,41,False
2020-11-08,44,False
2020-11-15,29,False
2020-11-22,15,False
2020-11-29,24,False
2020-12-06,34,False
2020-12-13,19,False
2020-12-20,48,False
2020-12-27,5,False
2021-01-03,43,False
2021-01-10,44,False
2021-01-17,29,False
2021-01-24,58,False
2021-01-31,92,False
2021-02-07,81,False
2021-02-14,63,False
2021-02-21,38,False
2021-02-28,48,False
2021-03-07,58,False
2021-03-14,32,False
2021-03-21,24,False
2021-03-28,35,False
2021-04-04,24,False
2021-04-11,10,False
2021-04-18,29,False
2021-04-25,62,False
2021-05-02,48,False
2021-05-09,25,False
2021-05-16,29,False
2021-05-23,5,False
2021-05-30,34,False
2021-06-06,39,False
2021-06-13,30,False
2021-06-20,25,False
2021-06-27,15,False
2021-07-04,20,False
2021-07-11,20,False
2021-07-18,31,False
2021-07-25,40,False
2021-08-01,25,False
2021-08-08,29,True
