date,PHM,isPartial
2020-10-25,40,False
2020-11-01,35,False
2020-11-08,32,False
2020-11-15,45,False
2020-11-22,35,False
2020-11-29,46,False
2020-12-06,41,False
2020-12-13,43,False
2020-12-20,38,False
2020-12-27,34,False
2021-01-03,41,False
2021-01-10,38,False
2021-01-17,38,False
2021-01-24,40,False
2021-01-31,54,False
2021-02-07,30,False
2021-02-14,52,False
2021-02-21,51,False
2021-02-28,50,False
2021-03-07,42,False
2021-03-14,37,False
2021-03-21,44,False
2021-03-28,46,False
2021-04-04,37,False
2021-04-11,40,False
2021-04-18,35,False
2021-04-25,54,False
2021-05-02,51,False
2021-05-09,45,False
2021-05-16,52,False
2021-05-23,39,False
2021-05-30,40,False
2021-06-06,49,False
2021-06-13,45,False
2021-06-20,33,False
2021-06-27,43,False
2021-07-04,53,False
2021-07-11,51,False
2021-07-18,62,False
2021-07-25,53,False
2021-08-01,54,False
2021-08-08,63,True
