date,AAL,isPartial
2018-05-06,25,False
2018-05-13,21,False
2018-05-20,22,False
2018-05-27,22,False
2018-06-03,24,False
2018-06-10,20,False
2018-06-17,20,False
2018-06-24,22,False
2018-07-01,22,False
2018-07-08,20,False
2018-07-15,24,False
2018-07-22,24,False
2018-07-29,20,False
2018-08-05,18,False
2018-08-12,21,False
2018-08-19,18,False
2018-08-26,22,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,18,False
2018-09-23,22,False
2018-09-30,19,False
2018-10-07,22,False
2018-10-14,20,False
2018-10-21,20,False
2018-10-28,23,False
2018-11-04,19,False
2018-11-11,20,False
2018-11-18,17,False
2018-11-25,17,False
2018-12-02,16,False
2018-12-09,18,False
2018-12-16,18,False
2018-12-23,19,False
2018-12-30,17,False
2019-01-06,21,False
2019-01-13,20,False
2019-01-20,18,False
2019-01-27,16,False
2019-02-03,22,False
2019-02-10,30,False
2019-02-17,18,False
2019-02-24,19,False
2019-03-03,16,False
2019-03-10,19,False
2019-03-17,16,False
2019-03-24,22,False
2019-03-31,20,False
2019-04-07,19,False
2019-04-14,19,False
2019-04-21,19,False
2019-04-28,20,False
2019-05-05,16,False
2019-05-12,19,False
2019-05-19,18,False
2019-05-26,17,False
2019-06-02,18,False
2019-06-09,18,False
2019-06-16,18,False
2019-06-23,19,False
2019-06-30,18,False
2019-07-07,18,False
2019-07-14,16,False
2019-07-21,18,False
2019-07-28,18,False
2019-08-04,16,False
2019-08-11,20,False
2019-08-18,18,False
2019-08-25,18,False
2019-09-01,21,False
2019-09-08,20,False
2019-09-15,19,False
2019-09-22,14,False
2019-09-29,16,False
2019-10-06,15,False
2019-10-13,16,False
2019-10-20,17,False
2019-10-27,17,False
2019-11-03,14,False
2019-11-10,16,False
2019-11-17,16,False
2019-11-24,15,False
2019-12-01,15,False
2019-12-08,15,False
2019-12-15,16,False
2019-12-22,17,False
2019-12-29,15,False
2020-01-05,17,False
2020-01-12,15,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,15,False
2020-02-09,16,False
2020-02-16,16,False
2020-02-23,21,False
2020-03-01,36,False
2020-03-08,54,False
2020-03-15,58,False
2020-03-22,57,False
2020-03-29,60,False
2020-04-05,65,False
2020-04-12,62,False
2020-04-19,55,False
2020-04-26,61,False
2020-05-03,73,False
2020-05-10,50,False
2020-05-17,51,False
2020-05-24,49,False
2020-05-31,93,False
2020-06-07,100,False
2020-06-14,70,False
2020-06-21,80,False
2020-06-28,58,False
2020-07-05,59,False
2020-07-12,61,False
2020-07-19,62,False
2020-07-26,50,False
2020-08-02,54,False
2020-08-09,53,False
2020-08-16,40,False
2020-08-23,50,False
2020-08-30,40,False
2020-09-06,32,False
2020-09-13,34,False
2020-09-20,37,False
2020-09-27,37,False
2020-10-04,37,False
2020-10-11,30,False
2020-10-18,33,False
2020-10-25,34,False
2020-11-01,27,False
2020-11-08,44,False
2020-11-15,44,False
2020-11-22,47,False
2020-11-29,50,False
2020-12-06,56,False
2020-12-13,44,False
2020-12-20,41,False
2020-12-27,36,False
2021-01-03,33,False
2021-01-10,36,False
2021-01-17,33,False
2021-01-24,84,False
2021-01-31,48,False
2021-02-07,38,False
2021-02-14,31,False
2021-02-21,51,False
2021-02-28,38,False
2021-03-07,43,False
2021-03-14,47,False
2021-03-21,39,False
2021-03-28,33,False
2021-04-04,34,False
2021-04-11,32,False
2021-04-18,36,False
2021-04-25,33,False
2021-05-02,30,False
2021-05-09,31,False
2021-05-16,32,False
2021-05-23,26,False
2021-05-30,32,False
2021-06-06,31,False
2021-06-13,28,False
2021-06-20,29,False
2021-06-27,27,False
2021-07-04,28,False
2021-07-11,33,False
2021-07-18,37,False
2021-07-25,27,False
2021-08-01,25,False
2021-08-08,27,True
