date,DLTR,isPartial
2019-01-06,38,False
2019-01-13,40,False
2019-01-20,17,False
2019-01-27,20,False
2019-02-03,20,False
2019-02-10,10,False
2019-02-17,17,False
2019-02-24,23,False
2019-03-03,75,False
2019-03-10,27,False
2019-03-17,24,False
2019-03-24,7,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,18,False
2019-04-21,3,False
2019-04-28,0,False
2019-05-05,17,False
2019-05-12,27,False
2019-05-19,10,False
2019-05-26,23,False
2019-06-02,10,False
2019-06-09,16,False
2019-06-16,20,False
2019-06-23,10,False
2019-06-30,3,False
2019-07-07,7,False
2019-07-14,7,False
2019-07-21,25,False
2019-07-28,10,False
2019-08-04,7,False
2019-08-11,30,False
2019-08-18,30,False
2019-08-25,36,False
2019-09-01,23,False
2019-09-08,6,False
2019-09-15,3,False
2019-09-22,19,False
2019-09-29,19,False
2019-10-06,16,False
2019-10-13,16,False
2019-10-20,25,False
2019-10-27,13,False
2019-11-03,25,False
2019-11-10,19,False
2019-11-17,9,False
2019-11-24,74,False
2019-12-01,53,False
2019-12-08,64,False
2019-12-15,29,False
2019-12-22,28,False
2019-12-29,26,False
2020-01-05,27,False
2020-01-12,35,False
2020-01-19,9,False
2020-01-26,39,False
2020-02-02,36,False
2020-02-09,3,False
2020-02-16,18,False
2020-02-23,20,False
2020-03-01,43,False
2020-03-08,31,False
2020-03-15,42,False
2020-03-22,43,False
2020-03-29,35,False
2020-04-05,17,False
2020-04-12,44,False
2020-04-19,24,False
2020-04-26,24,False
2020-05-03,38,False
2020-05-10,16,False
2020-05-17,38,False
2020-05-24,100,False
2020-05-31,51,False
2020-06-07,22,False
2020-06-14,22,False
2020-06-21,28,False
2020-06-28,20,False
2020-07-05,41,False
2020-07-12,38,False
2020-07-19,30,False
2020-07-26,18,False
2020-08-02,12,False
2020-08-09,15,False
2020-08-16,46,False
2020-08-23,95,False
2020-08-30,45,False
2020-09-06,6,False
2020-09-13,31,False
2020-09-20,17,False
2020-09-27,14,False
2020-10-04,20,False
2020-10-11,15,False
2020-10-18,21,False
2020-10-25,21,False
2020-11-01,11,False
2020-11-08,21,False
2020-11-15,9,False
2020-11-22,48,False
2020-11-29,26,False
2020-12-06,21,False
2020-12-13,15,False
2020-12-20,10,False
2020-12-27,13,False
2021-01-03,15,False
2021-01-10,12,False
2021-01-17,18,False
2021-01-24,18,False
2021-01-31,12,False
2021-02-07,9,False
2021-02-14,15,False
2021-02-21,6,False
2021-02-28,24,False
2021-03-07,12,False
2021-03-14,31,False
2021-03-21,24,False
2021-03-28,19,False
2021-04-04,12,False
2021-04-11,15,False
2021-04-18,3,False
2021-04-25,9,False
2021-05-02,15,False
2021-05-09,3,False
2021-05-16,6,False
2021-05-23,37,False
2021-05-30,39,False
2021-06-06,36,False
2021-06-13,21,False
2021-06-20,31,False
2021-06-27,18,False
2021-07-04,9,False
2021-07-11,6,False
2021-07-18,13,False
2021-07-25,9,False
2021-08-01,9,False
2021-08-08,29,True
