date,AEP,isPartial
2018-12-30,36,False
2019-01-06,36,False
2019-01-13,36,False
2019-01-20,38,False
2019-01-27,37,False
2019-02-03,39,False
2019-02-10,38,False
2019-02-17,40,False
2019-02-24,68,False
2019-03-03,40,False
2019-03-10,37,False
2019-03-17,35,False
2019-03-24,39,False
2019-03-31,35,False
2019-04-07,30,False
2019-04-14,36,False
2019-04-21,34,False
2019-04-28,36,False
2019-05-05,39,False
2019-05-12,37,False
2019-05-19,43,False
2019-05-26,40,False
2019-06-02,40,False
2019-06-09,39,False
2019-06-16,41,False
2019-06-23,43,False
2019-06-30,40,False
2019-07-07,40,False
2019-07-14,37,False
2019-07-21,43,False
2019-07-28,40,False
2019-08-04,40,False
2019-08-11,34,False
2019-08-18,36,False
2019-08-25,35,False
2019-09-01,36,False
2019-09-08,35,False
2019-09-15,36,False
2019-09-22,41,False
2019-09-29,44,False
2019-10-06,38,False
2019-10-13,42,False
2019-10-20,48,False
2019-10-27,51,False
2019-11-03,41,False
2019-11-10,38,False
2019-11-17,34,False
2019-11-24,40,False
2019-12-01,38,False
2019-12-08,36,False
2019-12-15,36,False
2019-12-22,27,False
2019-12-29,41,False
2020-01-05,37,False
2020-01-12,41,False
2020-01-19,34,False
2020-01-26,33,False
2020-02-02,41,False
2020-02-09,32,False
2020-02-16,31,False
2020-02-23,37,False
2020-03-01,39,False
2020-03-08,35,False
2020-03-15,35,False
2020-03-22,31,False
2020-03-29,36,False
2020-04-05,30,False
2020-04-12,37,False
2020-04-19,27,False
2020-04-26,36,False
2020-05-03,31,False
2020-05-10,33,False
2020-05-17,29,False
2020-05-24,29,False
2020-05-31,34,False
2020-06-07,43,False
2020-06-14,31,False
2020-06-21,32,False
2020-06-28,31,False
2020-07-05,35,False
2020-07-12,28,False
2020-07-19,36,False
2020-07-26,50,False
2020-08-02,39,False
2020-08-09,38,False
2020-08-16,32,False
2020-08-23,40,False
2020-08-30,37,False
2020-09-06,39,False
2020-09-13,34,False
2020-09-20,35,False
2020-09-27,38,False
2020-10-04,33,False
2020-10-11,35,False
2020-10-18,32,False
2020-10-25,33,False
2020-11-01,37,False
2020-11-08,37,False
2020-11-15,47,False
2020-11-22,30,False
2020-11-29,41,False
2020-12-06,39,False
2020-12-13,30,False
2020-12-20,21,False
2020-12-27,35,False
2021-01-03,34,False
2021-01-10,35,False
2021-01-17,30,False
2021-01-24,32,False
2021-01-31,32,False
2021-02-07,42,False
2021-02-14,100,False
2021-02-21,36,False
2021-02-28,39,False
2021-03-07,33,False
2021-03-14,33,False
2021-03-21,31,False
2021-03-28,30,False
2021-04-04,30,False
2021-04-11,33,False
2021-04-18,30,False
2021-04-25,31,False
2021-05-02,31,False
2021-05-09,33,False
2021-05-16,32,False
2021-05-23,31,False
2021-05-30,31,False
2021-06-06,32,False
2021-06-13,33,False
2021-06-20,28,False
2021-06-27,35,False
2021-07-04,29,False
2021-07-11,33,False
2021-07-18,30,False
2021-07-25,33,False
2021-08-01,28,False
2021-08-08,38,True
