date,JBHT,isPartial
2019-08-25,11,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,10,False
2019-09-29,31,False
2019-10-06,31,False
2019-10-13,61,False
2019-10-20,30,False
2019-10-27,41,False
2019-11-03,20,False
2019-11-10,30,False
2019-11-17,10,False
2019-11-24,20,False
2019-12-01,0,False
2019-12-08,21,False
2019-12-15,21,False
2019-12-22,22,False
2019-12-29,0,False
2020-01-05,10,False
2020-01-12,47,False
2020-01-19,10,False
2020-01-26,10,False
2020-02-02,10,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,19,False
2020-03-01,19,False
2020-03-08,46,False
2020-03-15,18,False
2020-03-22,26,False
2020-03-29,9,False
2020-04-05,18,False
2020-04-12,44,False
2020-04-19,26,False
2020-04-26,26,False
2020-05-03,26,False
2020-05-10,9,False
2020-05-17,27,False
2020-05-24,9,False
2020-05-31,35,False
2020-06-07,9,False
2020-06-14,18,False
2020-06-21,18,False
2020-06-28,0,False
2020-07-05,29,False
2020-07-12,38,False
2020-07-19,39,False
2020-07-26,0,False
2020-08-02,0,False
2020-08-09,28,False
2020-08-16,19,False
2020-08-23,28,False
2020-08-30,0,False
2020-09-06,0,False
2020-09-13,9,False
2020-09-20,18,False
2020-09-27,0,False
2020-10-04,9,False
2020-10-11,70,False
2020-10-18,30,False
2020-10-25,10,False
2020-11-01,9,False
2020-11-08,0,False
2020-11-15,39,False
2020-11-22,20,False
2020-11-29,38,False
2020-12-06,29,False
2020-12-13,10,False
2020-12-20,0,False
2020-12-27,10,False
2021-01-03,38,False
2021-01-10,0,False
2021-01-17,29,False
2021-01-24,10,False
2021-01-31,10,False
2021-02-07,0,False
2021-02-14,19,False
2021-02-21,0,False
2021-02-28,29,False
2021-03-07,10,False
2021-03-14,9,False
2021-03-21,29,False
2021-03-28,20,False
2021-04-04,29,False
2021-04-11,58,False
2021-04-18,20,False
2021-04-25,10,False
2021-05-02,39,False
2021-05-09,10,False
2021-05-16,19,False
2021-05-23,0,False
2021-05-30,0,False
2021-06-06,0,False
2021-06-13,10,False
2021-06-20,0,False
2021-06-27,10,False
2021-07-04,10,False
2021-07-11,30,False
2021-07-18,52,False
2021-07-25,10,False
2021-08-01,10,False
2021-08-08,12,True
