date,ORLY,isPartial
2020-08-09,18,False
2020-08-16,17,False
2020-08-23,18,False
2020-08-30,21,False
2020-09-06,18,False
2020-09-13,20,False
2020-09-20,19,False
2020-09-27,17,False
2020-10-04,19,False
2020-10-11,17,False
2020-10-18,17,False
2020-10-25,16,False
2020-11-01,14,False
2020-11-08,12,False
2020-11-15,12,False
2020-11-22,15,False
2020-11-29,15,False
2020-12-06,15,False
2020-12-13,18,False
2020-12-20,18,False
2020-12-27,17,False
2021-01-03,19,False
2021-01-10,16,False
2021-01-17,16,False
2021-01-24,14,False
2021-01-31,20,False
2021-02-07,15,False
2021-02-14,14,False
2021-02-21,13,False
2021-02-28,13,False
2021-03-07,13,False
2021-03-14,14,False
2021-03-21,13,False
2021-03-28,13,False
2021-04-04,12,False
2021-04-11,13,False
2021-04-18,13,False
2021-04-25,14,False
2021-05-02,16,False
2021-05-09,16,False
2021-05-16,16,False
2021-05-23,17,False
2021-05-30,18,False
2021-06-06,20,False
2021-06-13,24,False
2021-06-20,22,False
2021-06-27,25,False
2021-07-04,25,False
2021-07-11,25,False
2021-07-18,25,False
2021-07-25,23,False
2021-08-01,23,False
2021-08-08,23,True
