date,ULTA,isPartial
2018-12-02,62,False
2018-12-09,68,False
2018-12-16,83,False
2018-12-23,82,False
2018-12-30,64,False
2019-01-06,44,False
2019-01-13,42,False
2019-01-20,40,False
2019-01-27,39,False
2019-02-03,41,False
2019-02-10,40,False
2019-02-17,42,False
2019-02-24,42,False
2019-03-03,47,False
2019-03-10,48,False
2019-03-17,57,False
2019-03-24,50,False
2019-03-31,50,False
2019-04-07,43,False
2019-04-14,48,False
2019-04-21,45,False
2019-04-28,45,False
2019-05-05,44,False
2019-05-12,44,False
2019-05-19,43,False
2019-05-26,46,False
2019-06-02,45,False
2019-06-09,45,False
2019-06-16,46,False
2019-06-23,47,False
2019-06-30,46,False
2019-07-07,40,False
2019-07-14,43,False
2019-07-21,44,False
2019-07-28,47,False
2019-08-04,43,False
2019-08-11,43,False
2019-08-18,44,False
2019-08-25,48,False
2019-09-01,51,False
2019-09-08,49,False
2019-09-15,51,False
2019-09-22,44,False
2019-09-29,44,False
2019-10-06,45,False
2019-10-13,49,False
2019-10-20,48,False
2019-10-27,46,False
2019-11-03,48,False
2019-11-10,54,False
2019-11-17,55,False
2019-11-24,91,False
2019-12-01,77,False
2019-12-08,64,False
2019-12-15,77,False
2019-12-22,84,False
2019-12-29,63,False
2020-01-05,48,False
2020-01-12,44,False
2020-01-19,45,False
2020-01-26,43,False
2020-02-02,41,False
2020-02-09,44,False
2020-02-16,45,False
2020-02-23,43,False
2020-03-01,43,False
2020-03-08,43,False
2020-03-15,47,False
2020-03-22,38,False
2020-03-29,45,False
2020-04-05,39,False
2020-04-12,43,False
2020-04-19,40,False
2020-04-26,42,False
2020-05-03,51,False
2020-05-10,53,False
2020-05-17,56,False
2020-05-24,51,False
2020-05-31,48,False
2020-06-07,53,False
2020-06-14,54,False
2020-06-21,49,False
2020-06-28,50,False
2020-07-05,46,False
2020-07-12,47,False
2020-07-19,48,False
2020-07-26,45,False
2020-08-02,46,False
2020-08-09,45,False
2020-08-16,42,False
2020-08-23,45,False
2020-08-30,48,False
2020-09-06,45,False
2020-09-13,46,False
2020-09-20,39,False
2020-09-27,40,False
2020-10-04,41,False
2020-10-11,40,False
2020-10-18,37,False
2020-10-25,39,False
2020-11-01,40,False
2020-11-08,48,False
2020-11-15,48,False
2020-11-22,76,False
2020-11-29,63,False
2020-12-06,59,False
2020-12-13,62,False
2020-12-20,73,False
2020-12-27,59,False
2021-01-03,48,False
2021-01-10,43,False
2021-01-17,40,False
2021-01-24,39,False
2021-01-31,39,False
2021-02-07,39,False
2021-02-14,39,False
2021-02-21,40,False
2021-02-28,41,False
2021-03-07,43,False
2021-03-14,49,False
2021-03-21,47,False
2021-03-28,46,False
2021-04-04,41,False
2021-04-11,41,False
2021-04-18,41,False
2021-04-25,38,False
2021-05-02,40,False
2021-05-09,41,False
2021-05-16,40,False
2021-05-23,40,False
2021-05-30,39,False
2021-06-06,37,False
2021-06-13,39,False
2021-06-20,38,False
2021-06-27,41,False
2021-07-04,39,False
2021-07-11,39,False
2021-07-18,41,False
2021-07-25,38,False
2021-08-01,40,False
2021-08-08,36,True
