date,ZBRA,isPartial
2019-04-07,17,False
2019-04-14,18,False
2019-04-21,47,False
2019-04-28,57,False
2019-05-05,46,False
2019-05-12,28,False
2019-05-19,45,False
2019-05-26,0,False
2019-06-02,39,False
2019-06-09,22,False
2019-06-16,17,False
2019-06-23,22,False
2019-06-30,28,False
2019-07-07,45,False
2019-07-14,40,False
2019-07-21,47,False
2019-07-28,58,False
2019-08-04,29,False
2019-08-11,46,False
2019-08-18,50,False
2019-08-25,22,False
2019-09-01,5,False
2019-09-08,54,False
2019-09-15,16,False
2019-09-22,16,False
2019-09-29,27,False
2019-10-06,16,False
2019-10-13,32,False
2019-10-20,36,False
2019-10-27,54,False
2019-11-03,42,False
2019-11-10,37,False
2019-11-17,5,False
2019-11-24,26,False
2019-12-01,32,False
2019-12-08,32,False
2019-12-15,11,False
2019-12-22,23,False
2019-12-29,28,False
2020-01-05,31,False
2020-01-12,25,False
2020-01-19,26,False
2020-01-26,15,False
2020-02-02,5,False
2020-02-09,60,False
2020-02-16,15,False
2020-02-23,39,False
2020-03-01,39,False
2020-03-08,33,False
2020-03-15,23,False
2020-03-22,14,False
2020-03-29,27,False
2020-04-05,19,False
2020-04-12,28,False
2020-04-19,18,False
2020-04-26,59,False
2020-05-03,36,False
2020-05-10,9,False
2020-05-17,5,False
2020-05-24,47,False
2020-05-31,18,False
2020-06-07,23,False
2020-06-14,14,False
2020-06-21,29,False
2020-06-28,29,False
2020-07-05,49,False
2020-07-12,45,False
2020-07-19,25,False
2020-07-26,46,False
2020-08-02,20,False
2020-08-09,15,False
2020-08-16,10,False
2020-08-23,48,False
2020-08-30,24,False
2020-09-06,24,False
2020-09-13,28,False
2020-09-20,19,False
2020-09-27,20,False
2020-10-04,19,False
2020-10-11,31,False
2020-10-18,5,False
2020-10-25,41,False
2020-11-01,33,False
2020-11-08,40,False
2020-11-15,66,False
2020-11-22,76,False
2020-11-29,69,False
2020-12-06,45,False
2020-12-13,20,False
2020-12-20,22,False
2020-12-27,22,False
2021-01-03,60,False
2021-01-10,30,False
2021-01-17,30,False
2021-01-24,25,False
2021-01-31,55,False
2021-02-07,70,False
2021-02-14,35,False
2021-02-21,34,False
2021-02-28,25,False
2021-03-07,35,False
2021-03-14,47,False
2021-03-21,100,False
2021-03-28,37,False
2021-04-04,76,False
2021-04-11,45,False
2021-04-18,36,False
2021-04-25,54,False
2021-05-02,40,False
2021-05-09,46,False
2021-05-16,35,False
2021-05-23,10,False
2021-05-30,51,False
2021-06-06,51,False
2021-06-13,57,False
2021-06-20,26,False
2021-06-27,62,False
2021-07-04,26,False
2021-07-11,37,False
2021-07-18,32,False
2021-07-25,10,False
2021-08-01,32,False
2021-08-08,55,True
