date,MRO,isPartial
2020-06-07,84,False
2020-06-14,77,False
2020-06-21,64,False
2020-06-28,58,False
2020-07-05,70,False
2020-07-12,73,False
2020-07-19,62,False
2020-07-26,60,False
2020-08-02,66,False
2020-08-09,63,False
2020-08-16,54,False
2020-08-23,56,False
2020-08-30,60,False
2020-09-06,55,False
2020-09-13,54,False
2020-09-20,50,False
2020-09-27,56,False
2020-10-04,56,False
2020-10-11,54,False
2020-10-18,49,False
2020-10-25,50,False
2020-11-01,53,False
2020-11-08,60,False
2020-11-15,67,False
2020-11-22,51,False
2020-11-29,55,False
2020-12-06,51,False
2020-12-13,50,False
2020-12-20,44,False
2020-12-27,44,False
2021-01-03,60,False
2021-01-10,52,False
2021-01-17,56,False
2021-01-24,59,False
2021-01-31,54,False
2021-02-07,58,False
2021-02-14,58,False
2021-02-21,65,False
2021-02-28,62,False
2021-03-07,66,False
2021-03-14,56,False
2021-03-21,63,False
2021-03-28,51,False
2021-04-04,53,False
2021-04-11,59,False
2021-04-18,48,False
2021-04-25,51,False
2021-05-02,53,False
2021-05-09,56,False
2021-05-16,53,False
2021-05-23,47,False
2021-05-30,55,False
2021-06-06,55,False
2021-06-13,49,False
2021-06-20,60,False
2021-06-27,54,False
2021-07-04,49,False
2021-07-11,46,False
2021-07-18,46,False
2021-07-25,45,False
2021-08-01,50,False
2021-08-08,44,True
