date,NWSA,isPartial
2019-03-24,23,False
2019-03-31,39,False
2019-04-07,16,False
2019-04-14,16,False
2019-04-21,32,False
2019-04-28,23,False
2019-05-05,31,False
2019-05-12,100,False
2019-05-19,46,False
2019-05-26,15,False
2019-06-02,8,False
2019-06-09,30,False
2019-06-16,8,False
2019-06-23,38,False
2019-06-30,16,False
2019-07-07,23,False
2019-07-14,31,False
2019-07-21,40,False
2019-07-28,24,False
2019-08-04,24,False
2019-08-11,23,False
2019-08-18,15,False
2019-08-25,15,False
2019-09-01,44,False
2019-09-08,22,False
2019-09-15,15,False
2019-09-22,29,False
2019-09-29,43,False
2019-10-06,22,False
2019-10-13,14,False
2019-10-20,21,False
2019-10-27,29,False
2019-11-03,57,False
2019-11-10,92,False
2019-11-17,43,False
2019-11-24,64,False
2019-12-01,64,False
2019-12-08,51,False
2019-12-15,51,False
2019-12-22,8,False
2019-12-29,38,False
2020-01-05,35,False
2020-01-12,74,False
2020-01-19,7,False
2020-01-26,21,False
2020-02-02,27,False
2020-02-09,40,False
2020-02-16,7,False
2020-02-23,52,False
2020-03-01,53,False
2020-03-08,26,False
2020-03-15,26,False
2020-03-22,25,False
2020-03-29,12,False
2020-04-05,32,False
2020-04-12,38,False
2020-04-19,37,False
2020-04-26,18,False
2020-05-03,31,False
2020-05-10,19,False
2020-05-17,6,False
2020-05-24,26,False
2020-05-31,37,False
2020-06-07,25,False
2020-06-14,25,False
2020-06-21,7,False
2020-06-28,26,False
2020-07-05,27,False
2020-07-12,34,False
2020-07-19,27,False
2020-07-26,21,False
2020-08-02,20,False
2020-08-09,20,False
2020-08-16,40,False
2020-08-23,40,False
2020-08-30,13,False
2020-09-06,13,False
2020-09-13,44,False
2020-09-20,13,False
2020-09-27,7,False
2020-10-04,0,False
2020-10-11,14,False
2020-10-18,35,False
2020-10-25,27,False
2020-11-01,13,False
2020-11-08,21,False
2020-11-15,28,False
2020-11-22,14,False
2020-11-29,34,False
2020-12-06,7,False
2020-12-13,28,False
2020-12-20,15,False
2020-12-27,7,False
2021-01-03,7,False
2021-01-10,34,False
2021-01-17,7,False
2021-01-24,61,False
2021-01-31,47,False
2021-02-07,21,False
2021-02-14,0,False
2021-02-21,21,False
2021-02-28,20,False
2021-03-07,14,False
2021-03-14,38,False
2021-03-21,27,False
2021-03-28,58,False
2021-04-04,7,False
2021-04-11,14,False
2021-04-18,14,False
2021-04-25,34,False
2021-05-02,21,False
2021-05-09,35,False
2021-05-16,21,False
2021-05-23,28,False
2021-05-30,7,False
2021-06-06,14,False
2021-06-13,14,False
2021-06-20,0,False
2021-06-27,21,False
2021-07-04,22,False
2021-07-11,14,False
2021-07-18,0,False
2021-07-25,28,False
2021-08-01,7,False
2021-08-08,30,True
