date,ETSY,isPartial
2019-08-25,39,False
2019-09-01,41,False
2019-09-08,41,False
2019-09-15,41,False
2019-09-22,41,False
2019-09-29,40,False
2019-10-06,41,False
2019-10-13,42,False
2019-10-20,41,False
2019-10-27,41,False
2019-11-03,48,False
2019-11-10,52,False
2019-11-17,53,False
2019-11-24,55,False
2019-12-01,62,False
2019-12-08,58,False
2019-12-15,47,False
2019-12-22,38,False
2019-12-29,43,False
2020-01-05,43,False
2020-01-12,43,False
2020-01-19,44,False
2020-01-26,42,False
2020-02-02,43,False
2020-02-09,42,False
2020-02-16,43,False
2020-02-23,42,False
2020-03-01,41,False
2020-03-08,36,False
2020-03-15,29,False
2020-03-22,33,False
2020-03-29,48,False
2020-04-05,55,False
2020-04-12,62,False
2020-04-19,69,False
2020-04-26,75,False
2020-05-03,73,False
2020-05-10,75,False
2020-05-17,72,False
2020-05-24,67,False
2020-05-31,63,False
2020-06-07,67,False
2020-06-14,67,False
2020-06-21,67,False
2020-06-28,67,False
2020-07-05,71,False
2020-07-12,73,False
2020-07-19,75,False
2020-07-26,70,False
2020-08-02,69,False
2020-08-09,68,False
2020-08-16,68,False
2020-08-23,65,False
2020-08-30,67,False
2020-09-06,68,False
2020-09-13,64,False
2020-09-20,65,False
2020-09-27,65,False
2020-10-04,64,False
2020-10-11,65,False
2020-10-18,64,False
2020-10-25,65,False
2020-11-01,67,False
2020-11-08,79,False
2020-11-15,89,False
2020-11-22,93,False
2020-11-29,100,False
2020-12-06,99,False
2020-12-13,83,False
2020-12-20,67,False
2020-12-27,71,False
2021-01-03,69,False
2021-01-10,72,False
2021-01-17,72,False
2021-01-24,82,False
2021-01-31,80,False
2021-02-07,71,False
2021-02-14,70,False
2021-02-21,71,False
2021-02-28,70,False
2021-03-07,69,False
2021-03-14,65,False
2021-03-21,66,False
2021-03-28,65,False
2021-04-04,64,False
2021-04-11,64,False
2021-04-18,64,False
2021-04-25,64,False
2021-05-02,69,False
2021-05-09,64,False
2021-05-16,61,False
2021-05-23,60,False
2021-05-30,59,False
2021-06-06,58,False
2021-06-13,58,False
2021-06-20,56,False
2021-06-27,56,False
2021-07-04,56,False
2021-07-11,55,False
2021-07-18,58,False
2021-07-25,56,False
2021-08-01,57,False
2021-08-08,57,True
