date,KEYS,isPartial
2019-09-22,48,False
2019-09-29,49,False
2019-10-06,46,False
2019-10-13,45,False
2019-10-20,43,False
2019-10-27,42,False
2019-11-03,45,False
2019-11-10,47,False
2019-11-17,43,False
2019-11-24,41,False
2019-12-01,43,False
2019-12-08,45,False
2019-12-15,44,False
2019-12-22,40,False
2019-12-29,45,False
2020-01-05,46,False
2020-01-12,46,False
2020-01-19,50,False
2020-01-26,73,False
2020-02-02,49,False
2020-02-09,49,False
2020-02-16,48,False
2020-02-23,51,False
2020-03-01,46,False
2020-03-08,42,False
2020-03-15,43,False
2020-03-22,47,False
2020-03-29,49,False
2020-04-05,49,False
2020-04-12,46,False
2020-04-19,50,False
2020-04-26,46,False
2020-05-03,46,False
2020-05-10,47,False
2020-05-17,47,False
2020-05-24,45,False
2020-05-31,45,False
2020-06-07,47,False
2020-06-14,47,False
2020-06-21,45,False
2020-06-28,45,False
2020-07-05,45,False
2020-07-12,45,False
2020-07-19,45,False
2020-07-26,46,False
2020-08-02,48,False
2020-08-09,47,False
2020-08-16,46,False
2020-08-23,47,False
2020-08-30,44,False
2020-09-06,49,False
2020-09-13,49,False
2020-09-20,50,False
2020-09-27,43,False
2020-10-04,44,False
2020-10-11,44,False
2020-10-18,42,False
2020-10-25,39,False
2020-11-01,38,False
2020-11-08,41,False
2020-11-15,40,False
2020-11-22,42,False
2020-11-29,40,False
2020-12-06,40,False
2020-12-13,40,False
2020-12-20,40,False
2020-12-27,49,False
2021-01-03,42,False
2021-01-10,43,False
2021-01-17,42,False
2021-01-24,45,False
2021-01-31,43,False
2021-02-07,43,False
2021-02-14,43,False
2021-02-21,43,False
2021-02-28,43,False
2021-03-07,43,False
2021-03-14,41,False
2021-03-21,43,False
2021-03-28,42,False
2021-04-04,41,False
2021-04-11,41,False
2021-04-18,41,False
2021-04-25,39,False
2021-05-02,41,False
2021-05-09,41,False
2021-05-16,42,False
2021-05-23,43,False
2021-05-30,40,False
2021-06-06,43,False
2021-06-13,40,False
2021-06-20,40,False
2021-06-27,42,False
2021-07-04,44,False
2021-07-11,41,False
2021-07-18,41,False
2021-07-25,42,False
2021-08-01,43,False
2021-08-08,43,True
