date,TTWO,isPartial
2019-01-27,29,False
2019-02-03,91,False
2019-02-10,61,False
2019-02-17,38,False
2019-02-24,53,False
2019-03-03,44,False
2019-03-10,38,False
2019-03-17,35,False
2019-03-24,31,False
2019-03-31,41,False
2019-04-07,22,False
2019-04-14,18,False
2019-04-21,32,False
2019-04-28,34,False
2019-05-05,27,False
2019-05-12,58,False
2019-05-19,28,False
2019-05-26,17,False
2019-06-02,13,False
2019-06-09,21,False
2019-06-16,18,False
2019-06-23,20,False
2019-06-30,24,False
2019-07-07,16,False
2019-07-14,19,False
2019-07-21,11,False
2019-07-28,15,False
2019-08-04,53,False
2019-08-11,29,False
2019-08-18,25,False
2019-08-25,11,False
2019-09-01,22,False
2019-09-08,18,False
2019-09-15,14,False
2019-09-22,18,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,10,False
2019-10-20,10,False
2019-10-27,20,False
2019-11-03,26,False
2019-11-10,18,False
2019-11-17,16,False
2019-11-24,12,False
2019-12-01,13,False
2019-12-08,17,False
2019-12-15,14,False
2019-12-22,21,False
2019-12-29,13,False
2020-01-05,12,False
2020-01-12,12,False
2020-01-19,16,False
2020-01-26,8,False
2020-02-02,40,False
2020-02-09,28,False
2020-02-16,12,False
2020-02-23,15,False
2020-03-01,28,False
2020-03-08,24,False
2020-03-15,17,False
2020-03-22,25,False
2020-03-29,15,False
2020-04-05,20,False
2020-04-12,26,False
2020-04-19,19,False
2020-04-26,17,False
2020-05-03,24,False
2020-05-10,28,False
2020-05-17,100,False
2020-05-24,38,False
2020-05-31,34,False
2020-06-07,17,False
2020-06-14,23,False
2020-06-21,25,False
2020-06-28,19,False
2020-07-05,17,False
2020-07-12,18,False
2020-07-19,16,False
2020-07-26,23,False
2020-08-02,76,False
2020-08-09,33,False
2020-08-16,14,False
2020-08-23,15,False
2020-08-30,16,False
2020-09-06,19,False
2020-09-13,20,False
2020-09-20,20,False
2020-09-27,15,False
2020-10-04,9,False
2020-10-11,12,False
2020-10-18,37,False
2020-10-25,12,False
2020-11-01,21,False
2020-11-08,24,False
2020-11-15,10,False
2020-11-22,13,False
2020-11-29,22,False
2020-12-06,12,False
2020-12-13,37,False
2020-12-20,16,False
2020-12-27,15,False
2021-01-03,13,False
2021-01-10,24,False
2021-01-17,20,False
2021-01-24,19,False
2021-01-31,35,False
2021-02-07,59,False
2021-02-14,21,False
2021-02-21,25,False
2021-02-28,17,False
2021-03-07,25,False
2021-03-14,16,False
2021-03-21,12,False
2021-03-28,18,False
2021-04-04,16,False
2021-04-11,13,False
2021-04-18,7,False
2021-04-25,11,False
2021-05-02,18,False
2021-05-09,16,False
2021-05-16,30,False
2021-05-23,17,False
2021-05-30,11,False
2021-06-06,16,False
2021-06-13,6,False
2021-06-20,15,False
2021-06-27,7,False
2021-07-04,16,False
2021-07-11,16,False
2021-07-18,12,False
2021-07-25,11,False
2021-08-01,38,False
2021-08-08,23,True
