date,MKTX,isPartial
2018-08-12,10,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,10,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,10,False
2018-09-30,10,False
2018-10-07,29,False
2018-10-14,10,False
2018-10-21,19,False
2018-10-28,19,False
2018-11-04,38,False
2018-11-11,19,False
2018-11-18,10,False
2018-11-25,9,False
2018-12-02,29,False
2018-12-09,20,False
2018-12-16,10,False
2018-12-23,11,False
2018-12-30,11,False
2019-01-06,0,False
2019-01-13,9,False
2019-01-20,19,False
2019-01-27,9,False
2019-02-03,0,False
2019-02-10,19,False
2019-02-17,9,False
2019-02-24,19,False
2019-03-03,0,False
2019-03-10,9,False
2019-03-17,10,False
2019-03-24,10,False
2019-03-31,19,False
2019-04-07,10,False
2019-04-14,20,False
2019-04-21,19,False
2019-04-28,29,False
2019-05-05,19,False
2019-05-12,10,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,37,False
2019-06-09,19,False
2019-06-16,19,False
2019-06-23,19,False
2019-06-30,0,False
2019-07-07,28,False
2019-07-14,48,False
2019-07-21,49,False
2019-07-28,10,False
2019-08-04,29,False
2019-08-11,19,False
2019-08-18,28,False
2019-08-25,9,False
2019-09-01,46,False
2019-09-08,36,False
2019-09-15,9,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,9,False
2019-10-13,9,False
2019-10-20,17,False
2019-10-27,9,False
2019-11-03,35,False
2019-11-10,0,False
2019-11-17,9,False
2019-11-24,17,False
2019-12-01,18,False
2019-12-08,9,False
2019-12-15,27,False
2019-12-22,0,False
2019-12-29,9,False
2020-01-05,9,False
2020-01-12,8,False
2020-01-19,0,False
2020-01-26,26,False
2020-02-02,25,False
2020-02-09,42,False
2020-02-16,8,False
2020-02-23,24,False
2020-03-01,40,False
2020-03-08,8,False
2020-03-15,16,False
2020-03-22,23,False
2020-03-29,15,False
2020-04-05,16,False
2020-04-12,100,False
2020-04-19,38,False
2020-04-26,60,False
2020-05-03,30,False
2020-05-10,23,False
2020-05-17,15,False
2020-05-24,31,False
2020-05-31,69,False
2020-06-07,8,False
2020-06-14,23,False
2020-06-21,64,False
2020-06-28,32,False
2020-07-05,41,False
2020-07-12,17,False
2020-07-19,34,False
2020-07-26,34,False
2020-08-02,8,False
2020-08-09,25,False
2020-08-16,8,False
2020-08-23,32,False
2020-08-30,8,False
2020-09-06,16,False
2020-09-13,8,False
2020-09-20,40,False
2020-09-27,8,False
2020-10-04,24,False
2020-10-11,9,False
2020-10-18,17,False
2020-10-25,17,False
2020-11-01,16,False
2020-11-08,8,False
2020-11-15,25,False
2020-11-22,25,False
2020-11-29,33,False
2020-12-06,8,False
2020-12-13,0,False
2020-12-20,28,False
2020-12-27,9,False
2021-01-03,17,False
2021-01-10,17,False
2021-01-17,25,False
2021-01-24,25,False
2021-01-31,8,False
2021-02-07,17,False
2021-02-14,8,False
2021-02-21,0,False
2021-02-28,25,False
2021-03-07,8,False
2021-03-14,16,False
2021-03-21,8,False
2021-03-28,0,False
2021-04-04,25,False
2021-04-11,25,False
2021-04-18,9,False
2021-04-25,17,False
2021-05-02,17,False
2021-05-09,52,False
2021-05-16,17,False
2021-05-23,9,False
2021-05-30,17,False
2021-06-06,17,False
2021-06-13,0,False
2021-06-20,9,False
2021-06-27,9,False
2021-07-04,18,False
2021-07-11,18,False
2021-07-18,18,False
2021-07-25,18,False
2021-08-01,0,False
2021-08-08,0,True
