date,AMCR,isPartial
2018-11-11,34,False
2018-11-18,12,False
2018-11-25,11,False
2018-12-02,0,False
2018-12-09,12,False
2018-12-16,12,False
2018-12-23,0,False
2018-12-30,25,False
2019-01-06,11,False
2019-01-13,45,False
2019-01-20,11,False
2019-01-27,56,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,11,False
2019-02-24,0,False
2019-03-03,23,False
2019-03-10,11,False
2019-03-17,11,False
2019-03-24,11,False
2019-03-31,0,False
2019-04-07,23,False
2019-04-14,12,False
2019-04-21,12,False
2019-04-28,23,False
2019-05-05,11,False
2019-05-12,23,False
2019-05-19,11,False
2019-05-26,11,False
2019-06-02,33,False
2019-06-09,66,False
2019-06-16,11,False
2019-06-23,11,False
2019-06-30,56,False
2019-07-07,56,False
2019-07-14,34,False
2019-07-21,23,False
2019-07-28,57,False
2019-08-04,23,False
2019-08-11,0,False
2019-08-18,33,False
2019-08-25,33,False
2019-09-01,22,False
2019-09-08,21,False
2019-09-15,11,False
2019-09-22,11,False
2019-09-29,21,False
2019-10-06,0,False
2019-10-13,11,False
2019-10-20,10,False
2019-10-27,43,False
2019-11-03,10,False
2019-11-10,10,False
2019-11-17,11,False
2019-11-24,51,False
2019-12-01,21,False
2019-12-08,32,False
2019-12-15,64,False
2019-12-22,35,False
2019-12-29,11,False
2020-01-05,41,False
2020-01-12,10,False
2020-01-19,51,False
2020-01-26,40,False
2020-02-02,30,False
2020-02-09,69,False
2020-02-16,30,False
2020-02-23,29,False
2020-03-01,29,False
2020-03-08,67,False
2020-03-15,65,False
2020-03-22,73,False
2020-03-29,18,False
2020-04-05,37,False
2020-04-12,64,False
2020-04-19,98,False
2020-04-26,36,False
2020-05-03,99,False
2020-05-10,37,False
2020-05-17,28,False
2020-05-24,28,False
2020-05-31,72,False
2020-06-07,37,False
2020-06-14,19,False
2020-06-21,57,False
2020-06-28,10,False
2020-07-05,20,False
2020-07-12,49,False
2020-07-19,30,False
2020-07-26,41,False
2020-08-02,10,False
2020-08-09,20,False
2020-08-16,29,False
2020-08-23,58,False
2020-08-30,28,False
2020-09-06,19,False
2020-09-13,9,False
2020-09-20,56,False
2020-09-27,0,False
2020-10-04,68,False
2020-10-11,31,False
2020-10-18,20,False
2020-10-25,30,False
2020-11-01,38,False
2020-11-08,50,False
2020-11-15,30,False
2020-11-22,50,False
2020-11-29,98,False
2020-12-06,30,False
2020-12-13,40,False
2020-12-20,0,False
2020-12-27,11,False
2021-01-03,39,False
2021-01-10,20,False
2021-01-17,50,False
2021-01-24,60,False
2021-01-31,100,False
2021-02-07,59,False
2021-02-14,40,False
2021-02-21,69,False
2021-02-28,60,False
2021-03-07,50,False
2021-03-14,28,False
2021-03-21,40,False
2021-03-28,21,False
2021-04-04,20,False
2021-04-11,20,False
2021-04-18,30,False
2021-04-25,20,False
2021-05-02,60,False
2021-05-09,10,False
2021-05-16,50,False
2021-05-23,41,False
2021-05-30,71,False
2021-06-06,40,False
2021-06-13,41,False
2021-06-20,62,False
2021-06-27,21,False
2021-07-04,63,False
2021-07-11,42,False
2021-07-18,64,False
2021-07-25,42,False
2021-08-01,42,False
2021-08-08,48,True
