date,JPM,isPartial
2019-11-17,33,False
2019-11-24,26,False
2019-12-01,32,False
2019-12-08,34,False
2019-12-15,32,False
2019-12-22,25,False
2019-12-29,28,False
2020-01-05,40,False
2020-01-12,61,False
2020-01-19,32,False
2020-01-26,30,False
2020-02-02,39,False
2020-02-09,39,False
2020-02-16,27,False
2020-02-23,45,False
2020-03-01,48,False
2020-03-08,81,False
2020-03-15,79,False
2020-03-22,69,False
2020-03-29,53,False
2020-04-05,56,False
2020-04-12,95,False
2020-04-19,60,False
2020-04-26,59,False
2020-05-03,51,False
2020-05-10,63,False
2020-05-17,52,False
2020-05-24,57,False
2020-05-31,59,False
2020-06-07,67,False
2020-06-14,53,False
2020-06-21,62,False
2020-06-28,59,False
2020-07-05,62,False
2020-07-12,100,False
2020-07-19,49,False
2020-07-26,49,False
2020-08-02,48,False
2020-08-09,57,False
2020-08-16,48,False
2020-08-23,53,False
2020-08-30,53,False
2020-09-06,41,False
2020-09-13,45,False
2020-09-20,46,False
2020-09-27,44,False
2020-10-04,42,False
2020-10-11,60,False
2020-10-18,44,False
2020-10-25,44,False
2020-11-01,41,False
2020-11-08,52,False
2020-11-15,54,False
2020-11-22,44,False
2020-11-29,44,False
2020-12-06,37,False
2020-12-13,41,False
2020-12-20,45,False
2020-12-27,35,False
2021-01-03,57,False
2021-01-10,74,False
2021-01-17,45,False
2021-01-24,54,False
2021-01-31,47,False
2021-02-07,44,False
2021-02-14,43,False
2021-02-21,50,False
2021-02-28,51,False
2021-03-07,47,False
2021-03-14,47,False
2021-03-21,51,False
2021-03-28,36,False
2021-04-04,46,False
2021-04-11,57,False
2021-04-18,43,False
2021-04-25,39,False
2021-05-02,40,False
2021-05-09,40,False
2021-05-16,38,False
2021-05-23,39,False
2021-05-30,35,False
2021-06-06,38,False
2021-06-13,47,False
2021-06-20,45,False
2021-06-27,44,False
2021-07-04,44,False
2021-07-11,60,False
2021-07-18,45,False
2021-07-25,35,False
2021-08-01,38,False
2021-08-08,40,True
