date,EOG,isPartial
2021-05-16,51,False
2021-05-23,33,False
2021-05-30,20,False
2021-06-06,21,False
2021-06-13,20,False
2021-06-20,32,False
2021-06-27,22,False
2021-07-04,14,False
2021-07-11,17,False
2021-07-18,15,False
2021-07-25,20,False
2021-08-01,21,False
2021-08-08,17,True
