date,CTSH,isPartial
2018-07-22,36,False
2018-07-29,56,False
2018-08-05,42,False
2018-08-12,41,False
2018-08-19,62,False
2018-08-26,57,False
2018-09-02,50,False
2018-09-09,27,False
2018-09-16,40,False
2018-09-23,21,False
2018-09-30,36,False
2018-10-07,50,False
2018-10-14,41,False
2018-10-21,37,False
2018-10-28,59,False
2018-11-04,53,False
2018-11-11,30,False
2018-11-18,31,False
2018-11-25,26,False
2018-12-02,32,False
2018-12-09,39,False
2018-12-16,38,False
2018-12-23,32,False
2018-12-30,24,False
2019-01-06,43,False
2019-01-13,33,False
2019-01-20,46,False
2019-01-27,51,False
2019-02-03,68,False
2019-02-10,72,False
2019-02-17,50,False
2019-02-24,53,False
2019-03-03,34,False
2019-03-10,35,False
2019-03-17,40,False
2019-03-24,38,False
2019-03-31,37,False
2019-04-07,34,False
2019-04-14,49,False
2019-04-21,24,False
2019-04-28,94,False
2019-05-05,67,False
2019-05-12,36,False
2019-05-19,39,False
2019-05-26,51,False
2019-06-02,42,False
2019-06-09,44,False
2019-06-16,44,False
2019-06-23,35,False
2019-06-30,34,False
2019-07-07,28,False
2019-07-14,39,False
2019-07-21,40,False
2019-07-28,72,False
2019-08-04,25,False
2019-08-11,49,False
2019-08-18,42,False
2019-08-25,47,False
2019-09-01,36,False
2019-09-08,44,False
2019-09-15,33,False
2019-09-22,18,False
2019-09-29,35,False
2019-10-06,27,False
2019-10-13,45,False
2019-10-20,28,False
2019-10-27,59,False
2019-11-03,31,False
2019-11-10,33,False
2019-11-17,51,False
2019-11-24,21,False
2019-12-01,33,False
2019-12-08,35,False
2019-12-15,23,False
2019-12-22,17,False
2019-12-29,24,False
2020-01-05,35,False
2020-01-12,28,False
2020-01-19,36,False
2020-01-26,26,False
2020-02-02,89,False
2020-02-09,69,False
2020-02-16,38,False
2020-02-23,40,False
2020-03-01,39,False
2020-03-08,69,False
2020-03-15,46,False
2020-03-22,45,False
2020-03-29,37,False
2020-04-05,39,False
2020-04-12,31,False
2020-04-19,46,False
2020-04-26,39,False
2020-05-03,51,False
2020-05-10,32,False
2020-05-17,40,False
2020-05-24,20,False
2020-05-31,47,False
2020-06-07,45,False
2020-06-14,35,False
2020-06-21,14,False
2020-06-28,27,False
2020-07-05,28,False
2020-07-12,31,False
2020-07-19,44,False
2020-07-26,84,False
2020-08-02,58,False
2020-08-09,30,False
2020-08-16,33,False
2020-08-23,37,False
2020-08-30,39,False
2020-09-06,32,False
2020-09-13,47,False
2020-09-20,31,False
2020-09-27,21,False
2020-10-04,39,False
2020-10-11,30,False
2020-10-18,27,False
2020-10-25,48,False
2020-11-01,33,False
2020-11-08,47,False
2020-11-15,39,False
2020-11-22,30,False
2020-11-29,37,False
2020-12-06,30,False
2020-12-13,29,False
2020-12-20,25,False
2020-12-27,17,False
2021-01-03,36,False
2021-01-10,28,False
2021-01-17,24,False
2021-01-24,16,False
2021-01-31,48,False
2021-02-07,25,False
2021-02-14,11,False
2021-02-21,19,False
2021-02-28,28,False
2021-03-07,25,False
2021-03-14,18,False
2021-03-21,29,False
2021-03-28,21,False
2021-04-04,12,False
2021-04-11,14,False
2021-04-18,28,False
2021-04-25,13,False
2021-05-02,34,False
2021-05-09,17,False
2021-05-16,27,False
2021-05-23,27,False
2021-05-30,11,False
2021-06-06,12,False
2021-06-13,19,False
2021-06-20,10,False
2021-06-27,21,False
2021-07-04,11,False
2021-07-11,13,False
2021-07-18,21,False
2021-07-25,26,False
2021-08-01,25,False
2021-08-08,25,True
