date,NXPI,isPartial
2020-04-05,11,False
2020-04-12,19,False
2020-04-19,16,False
2020-04-26,23,False
2020-05-03,10,False
2020-05-10,15,False
2020-05-17,14,False
2020-05-24,15,False
2020-05-31,16,False
2020-06-07,12,False
2020-06-14,12,False
2020-06-21,8,False
2020-06-28,16,False
2020-07-05,15,False
2020-07-12,12,False
2020-07-19,11,False
2020-07-26,20,False
2020-08-02,5,False
2020-08-09,14,False
2020-08-16,6,False
2020-08-23,11,False
2020-08-30,13,False
2020-09-06,11,False
2020-09-13,11,False
2020-09-20,8,False
2020-09-27,8,False
2020-10-04,15,False
2020-10-11,15,False
2020-10-18,18,False
2020-10-25,27,False
2020-11-01,17,False
2020-11-08,17,False
2020-11-15,14,False
2020-11-22,10,False
2020-11-29,10,False
2020-12-06,16,False
2020-12-13,15,False
2020-12-20,8,False
2020-12-27,12,False
2021-01-03,16,False
2021-01-10,17,False
2021-01-17,15,False
2021-01-24,13,False
2021-01-31,32,False
2021-02-07,23,False
2021-02-14,15,False
2021-02-21,25,False
2021-02-28,23,False
2021-03-07,31,False
2021-03-14,32,False
2021-03-21,20,False
2021-03-28,23,False
2021-04-04,16,False
2021-04-11,14,False
2021-04-18,20,False
2021-04-25,23,False
2021-05-02,17,False
2021-05-09,15,False
2021-05-16,14,False
2021-05-23,15,False
2021-05-30,8,False
2021-06-06,6,False
2021-06-13,9,False
2021-06-20,11,False
2021-06-27,11,False
2021-07-04,7,False
2021-07-11,12,False
2021-07-18,14,False
2021-07-25,12,False
2021-08-01,21,False
2021-08-08,15,True
