date,MCK,isPartial
2021-02-14,48,False
2021-02-21,56,False
2021-02-28,46,False
2021-03-07,54,False
2021-03-14,41,False
2021-03-21,49,False
2021-03-28,53,False
2021-04-04,52,False
2021-04-11,57,False
2021-04-18,57,False
2021-04-25,49,False
2021-05-02,57,False
2021-05-09,52,False
2021-05-16,51,False
2021-05-23,48,False
2021-05-30,55,False
2021-06-06,46,False
2021-06-13,41,False
2021-06-20,48,False
2021-06-27,44,False
2021-07-04,43,False
2021-07-11,42,False
2021-07-18,49,False
2021-07-25,39,False
2021-08-01,44,False
2021-08-08,35,True
