date,CBOE,isPartial
2019-01-27,4,False
2019-02-03,4,False
2019-02-10,6,False
2019-02-17,3,False
2019-02-24,3,False
2019-03-03,4,False
2019-03-10,6,False
2019-03-17,5,False
2019-03-24,5,False
2019-03-31,4,False
2019-04-07,3,False
2019-04-14,3,False
2019-04-21,3,False
2019-04-28,4,False
2019-05-05,4,False
2019-05-12,5,False
2019-05-19,5,False
2019-05-26,4,False
2019-06-02,4,False
2019-06-09,4,False
2019-06-16,4,False
2019-06-23,5,False
2019-06-30,3,False
2019-07-07,3,False
2019-07-14,4,False
2019-07-21,4,False
2019-07-28,4,False
2019-08-04,4,False
2019-08-11,6,False
2019-08-18,4,False
2019-08-25,5,False
2019-09-01,4,False
2019-09-08,4,False
2019-09-15,4,False
2019-09-22,4,False
2019-09-29,5,False
2019-10-06,5,False
2019-10-13,4,False
2019-10-20,3,False
2019-10-27,3,False
2019-11-03,3,False
2019-11-10,4,False
2019-11-17,5,False
2019-11-24,3,False
2019-12-01,4,False
2019-12-08,5,False
2019-12-15,5,False
2019-12-22,3,False
2019-12-29,2,False
2020-01-05,4,False
2020-01-12,4,False
2020-01-19,4,False
2020-01-26,6,False
2020-02-02,5,False
2020-02-09,5,False
2020-02-16,4,False
2020-02-23,9,False
2020-03-01,7,False
2020-03-08,12,False
2020-03-15,11,False
2020-03-22,9,False
2020-03-29,7,False
2020-04-05,7,False
2020-04-12,6,False
2020-04-19,7,False
2020-04-26,6,False
2020-05-03,4,False
2020-05-10,6,False
2020-05-17,5,False
2020-05-24,3,False
2020-05-31,6,False
2020-06-07,6,False
2020-06-14,5,False
2020-06-21,5,False
2020-06-28,5,False
2020-07-05,5,False
2020-07-12,6,False
2020-07-19,6,False
2020-07-26,6,False
2020-08-02,4,False
2020-08-09,5,False
2020-08-16,4,False
2020-08-23,5,False
2020-08-30,6,False
2020-09-06,4,False
2020-09-13,5,False
2020-09-20,5,False
2020-09-27,4,False
2020-10-04,5,False
2020-10-11,4,False
2020-10-18,3,False
2020-10-25,4,False
2020-11-01,3,False
2020-11-08,5,False
2020-11-15,6,False
2020-11-22,3,False
2020-11-29,4,False
2020-12-06,6,False
2020-12-13,5,False
2020-12-20,2,False
2020-12-27,4,False
2021-01-03,4,False
2021-01-10,4,False
2021-01-17,4,False
2021-01-24,8,False
2021-01-31,7,False
2021-02-07,7,False
2021-02-14,6,False
2021-02-21,5,False
2021-02-28,4,False
2021-03-07,5,False
2021-03-14,4,False
2021-03-21,5,False
2021-03-28,3,False
2021-04-04,4,False
2021-04-11,5,False
2021-04-18,3,False
2021-04-25,3,False
2021-05-02,3,False
2021-05-09,5,False
2021-05-16,4,False
2021-05-23,3,False
2021-05-30,4,False
2021-06-06,4,False
2021-06-13,4,False
2021-06-20,5,False
2021-06-27,5,False
2021-07-04,4,False
2021-07-11,3,False
2021-07-18,4,False
2021-07-25,5,False
2021-08-01,4,False
2021-08-08,4,True
