date,GPN,isPartial
2018-08-26,25,False
2018-09-02,28,False
2018-09-09,25,False
2018-09-16,26,False
2018-09-23,27,False
2018-09-30,18,False
2018-10-07,36,False
2018-10-14,26,False
2018-10-21,47,False
2018-10-28,38,False
2018-11-04,23,False
2018-11-11,22,False
2018-11-18,19,False
2018-11-25,27,False
2018-12-02,25,False
2018-12-09,38,False
2018-12-16,20,False
2018-12-23,26,False
2018-12-30,24,False
2019-01-06,27,False
2019-01-13,25,False
2019-01-20,23,False
2019-01-27,22,False
2019-02-03,16,False
2019-02-10,23,False
2019-02-17,21,False
2019-02-24,17,False
2019-03-03,18,False
2019-03-10,24,False
2019-03-17,20,False
2019-03-24,26,False
2019-03-31,23,False
2019-04-07,18,False
2019-04-14,17,False
2019-04-21,14,False
2019-04-28,26,False
2019-05-05,29,False
2019-05-12,23,False
2019-05-19,29,False
2019-05-26,40,False
2019-06-02,23,False
2019-06-09,20,False
2019-06-16,22,False
2019-06-23,23,False
2019-06-30,27,False
2019-07-07,27,False
2019-07-14,22,False
2019-07-21,23,False
2019-07-28,22,False
2019-08-04,26,False
2019-08-11,18,False
2019-08-18,20,False
2019-08-25,26,False
2019-09-01,27,False
2019-09-08,23,False
2019-09-15,26,False
2019-09-22,25,False
2019-09-29,24,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,27,False
2019-10-27,32,False
2019-11-03,18,False
2019-11-10,26,False
2019-11-17,23,False
2019-11-24,23,False
2019-12-01,22,False
2019-12-08,24,False
2019-12-15,29,False
2019-12-22,21,False
2019-12-29,22,False
2020-01-05,20,False
2020-01-12,26,False
2020-01-19,25,False
2020-01-26,31,False
2020-02-02,35,False
2020-02-09,30,False
2020-02-16,26,False
2020-02-23,26,False
2020-03-01,23,False
2020-03-08,26,False
2020-03-15,31,False
2020-03-22,25,False
2020-03-29,16,False
2020-04-05,20,False
2020-04-12,19,False
2020-04-19,22,False
2020-04-26,23,False
2020-05-03,24,False
2020-05-10,29,False
2020-05-17,26,False
2020-05-24,23,False
2020-05-31,22,False
2020-06-07,22,False
2020-06-14,31,False
2020-06-21,22,False
2020-06-28,24,False
2020-07-05,18,False
2020-07-12,22,False
2020-07-19,17,False
2020-07-26,26,False
2020-08-02,26,False
2020-08-09,17,False
2020-08-16,19,False
2020-08-23,35,False
2020-08-30,23,False
2020-09-06,24,False
2020-09-13,23,False
2020-09-20,22,False
2020-09-27,23,False
2020-10-04,20,False
2020-10-11,23,False
2020-10-18,19,False
2020-10-25,29,False
2020-11-01,24,False
2020-11-08,21,False
2020-11-15,27,False
2020-11-22,29,False
2020-11-29,25,False
2020-12-06,27,False
2020-12-13,25,False
2020-12-20,15,False
2020-12-27,18,False
2021-01-03,16,False
2021-01-10,21,False
2021-01-17,23,False
2021-01-24,25,False
2021-01-31,17,False
2021-02-07,28,False
2021-02-14,16,False
2021-02-21,17,False
2021-02-28,22,False
2021-03-07,20,False
2021-03-14,26,False
2021-03-21,32,False
2021-03-28,19,False
2021-04-04,18,False
2021-04-11,22,False
2021-04-18,17,False
2021-04-25,26,False
2021-05-02,17,False
2021-05-09,18,False
2021-05-16,19,False
2021-05-23,26,False
2021-05-30,19,False
2021-06-06,28,False
2021-06-13,26,False
2021-06-20,20,False
2021-06-27,27,False
2021-07-04,24,False
2021-07-11,24,False
2021-07-18,18,False
2021-07-25,18,False
2021-08-01,27,False
2021-08-08,28,True
