date,CTLT,isPartial
2020-12-06,26,False
2020-12-13,26,False
2020-12-20,29,False
2020-12-27,19,False
2021-01-03,26,False
2021-01-10,62,False
2021-01-17,26,False
2021-01-24,18,False
2021-01-31,35,False
2021-02-07,61,False
2021-02-14,35,False
2021-02-21,17,False
2021-02-28,26,False
2021-03-07,18,False
2021-03-14,8,False
2021-03-21,17,False
2021-03-28,37,False
2021-04-04,35,False
2021-04-11,18,False
2021-04-18,36,False
2021-04-25,17,False
2021-05-02,35,False
2021-05-09,45,False
2021-05-16,18,False
2021-05-23,9,False
2021-05-30,9,False
2021-06-06,44,False
2021-06-13,18,False
2021-06-20,9,False
2021-06-27,27,False
2021-07-04,46,False
2021-07-11,37,False
2021-07-18,9,False
2021-07-25,0,False
2021-08-01,9,False
2021-08-08,32,True
