date,DTE,isPartial
2019-12-01,11,False
2019-12-08,10,False
2019-12-15,10,False
2019-12-22,8,False
2019-12-29,16,False
2020-01-05,12,False
2020-01-12,11,False
2020-01-19,10,False
2020-01-26,10,False
2020-02-02,11,False
2020-02-09,12,False
2020-02-16,10,False
2020-02-23,11,False
2020-03-01,13,False
2020-03-08,11,False
2020-03-15,12,False
2020-03-22,9,False
2020-03-29,10,False
2020-04-05,8,False
2020-04-12,9,False
2020-04-19,7,False
2020-04-26,9,False
2020-05-03,8,False
2020-05-10,9,False
2020-05-17,9,False
2020-05-24,12,False
2020-05-31,11,False
2020-06-07,20,False
2020-06-14,10,False
2020-06-21,11,False
2020-06-28,11,False
2020-07-05,15,False
2020-07-12,11,False
2020-07-19,18,False
2020-07-26,11,False
2020-08-02,14,False
2020-08-09,15,False
2020-08-16,15,False
2020-08-23,16,False
2020-08-30,14,False
2020-09-06,14,False
2020-09-13,14,False
2020-09-20,15,False
2020-09-27,15,False
2020-10-04,14,False
2020-10-11,16,False
2020-10-18,14,False
2020-10-25,17,False
2020-11-01,15,False
2020-11-08,13,False
2020-11-15,26,False
2020-11-22,13,False
2020-11-29,15,False
2020-12-06,21,False
2020-12-13,23,False
2020-12-20,15,False
2020-12-27,15,False
2021-01-03,13,False
2021-01-10,10,False
2021-01-17,9,False
2021-01-24,10,False
2021-01-31,11,False
2021-02-07,9,False
2021-02-14,9,False
2021-02-21,9,False
2021-02-28,10,False
2021-03-07,10,False
2021-03-14,9,False
2021-03-21,9,False
2021-03-28,10,False
2021-04-04,9,False
2021-04-11,8,False
2021-04-18,8,False
2021-04-25,7,False
2021-05-02,9,False
2021-05-09,7,False
2021-05-16,9,False
2021-05-23,9,False
2021-05-30,10,False
2021-06-06,10,False
2021-06-13,10,False
2021-06-20,15,False
2021-06-27,17,False
2021-07-04,24,False
2021-07-11,14,False
2021-07-18,15,False
2021-07-25,24,False
2021-08-01,15,False
2021-08-08,68,True
