date,PBCT,isPartial
2019-04-21,5,False
2019-04-28,16,False
2019-05-05,5,False
2019-05-12,21,False
2019-05-19,10,False
2019-05-26,5,False
2019-06-02,26,False
2019-06-09,26,False
2019-06-16,37,False
2019-06-23,10,False
2019-06-30,16,False
2019-07-07,5,False
2019-07-14,21,False
2019-07-21,16,False
2019-07-28,21,False
2019-08-04,16,False
2019-08-11,10,False
2019-08-18,5,False
2019-08-25,51,False
2019-09-01,5,False
2019-09-08,5,False
2019-09-15,10,False
2019-09-22,35,False
2019-09-29,10,False
2019-10-06,0,False
2019-10-13,44,False
2019-10-20,24,False
2019-10-27,25,False
2019-11-03,19,False
2019-11-10,24,False
2019-11-17,10,False
2019-11-24,5,False
2019-12-01,10,False
2019-12-08,15,False
2019-12-15,15,False
2019-12-22,5,False
2019-12-29,10,False
2020-01-05,14,False
2020-01-12,18,False
2020-01-19,24,False
2020-01-26,23,False
2020-02-02,14,False
2020-02-09,37,False
2020-02-16,9,False
2020-02-23,13,False
2020-03-01,18,False
2020-03-08,22,False
2020-03-15,17,False
2020-03-22,25,False
2020-03-29,29,False
2020-04-05,26,False
2020-04-12,34,False
2020-04-19,29,False
2020-04-26,33,False
2020-05-03,42,False
2020-05-10,43,False
2020-05-17,30,False
2020-05-24,30,False
2020-05-31,42,False
2020-06-07,43,False
2020-06-14,26,False
2020-06-21,35,False
2020-06-28,27,False
2020-07-05,23,False
2020-07-12,28,False
2020-07-19,46,False
2020-07-26,66,False
2020-08-02,32,False
2020-08-09,23,False
2020-08-16,63,False
2020-08-23,27,False
2020-08-30,53,False
2020-09-06,49,False
2020-09-13,22,False
2020-09-20,48,False
2020-09-27,27,False
2020-10-04,40,False
2020-10-11,43,False
2020-10-18,52,False
2020-10-25,28,False
2020-11-01,26,False
2020-11-08,42,False
2020-11-15,56,False
2020-11-22,37,False
2020-11-29,41,False
2020-12-06,28,False
2020-12-13,51,False
2020-12-20,46,False
2020-12-27,10,False
2021-01-03,55,False
2021-01-10,42,False
2021-01-17,37,False
2021-01-24,51,False
2021-01-31,32,False
2021-02-07,37,False
2021-02-14,23,False
2021-02-21,100,False
2021-02-28,37,False
2021-03-07,19,False
2021-03-14,26,False
2021-03-21,41,False
2021-03-28,24,False
2021-04-04,28,False
2021-04-11,23,False
2021-04-18,28,False
2021-04-25,32,False
2021-05-02,32,False
2021-05-09,5,False
2021-05-16,0,False
2021-05-23,24,False
2021-05-30,33,False
2021-06-06,19,False
2021-06-13,19,False
2021-06-20,33,False
2021-06-27,19,False
2021-07-04,19,False
2021-07-11,34,False
2021-07-18,40,False
2021-07-25,19,False
2021-08-01,34,False
2021-08-08,34,True
