date,EVRG,isPartial
2019-12-08,11,False
2019-12-15,11,False
2019-12-22,24,False
2019-12-29,23,False
2020-01-05,42,False
2020-01-12,10,False
2020-01-19,21,False
2020-01-26,41,False
2020-02-02,62,False
2020-02-09,10,False
2020-02-16,20,False
2020-02-23,40,False
2020-03-01,29,False
2020-03-08,39,False
2020-03-15,29,False
2020-03-22,37,False
2020-03-29,9,False
2020-04-05,28,False
2020-04-12,37,False
2020-04-19,27,False
2020-04-26,37,False
2020-05-03,37,False
2020-05-10,19,False
2020-05-17,38,False
2020-05-24,48,False
2020-05-31,37,False
2020-06-07,38,False
2020-06-14,29,False
2020-06-21,19,False
2020-06-28,0,False
2020-07-05,50,False
2020-07-12,10,False
2020-07-19,51,False
2020-07-26,21,False
2020-08-02,40,False
2020-08-09,100,False
2020-08-16,50,False
2020-08-23,30,False
2020-08-30,39,False
2020-09-06,29,False
2020-09-13,39,False
2020-09-20,29,False
2020-09-27,40,False
2020-10-04,10,False
2020-10-11,10,False
2020-10-18,21,False
2020-10-25,21,False
2020-11-01,49,False
2020-11-08,51,False
2020-11-15,21,False
2020-11-22,52,False
2020-11-29,80,False
2020-12-06,51,False
2020-12-13,20,False
2020-12-20,0,False
2020-12-27,33,False
2021-01-03,61,False
2021-01-10,21,False
2021-01-17,20,False
2021-01-24,41,False
2021-01-31,31,False
2021-02-07,20,False
2021-02-14,51,False
2021-02-21,50,False
2021-02-28,30,False
2021-03-07,20,False
2021-03-14,19,False
2021-03-21,51,False
2021-03-28,43,False
2021-04-04,21,False
2021-04-11,41,False
2021-04-18,21,False
2021-04-25,10,False
2021-05-02,31,False
2021-05-09,42,False
2021-05-16,21,False
2021-05-23,31,False
2021-05-30,10,False
2021-06-06,0,False
2021-06-13,42,False
2021-06-20,21,False
2021-06-27,42,False
2021-07-04,32,False
2021-07-11,11,False
2021-07-18,0,False
2021-07-25,21,False
2021-08-01,54,False
2021-08-08,12,True
