date,NCLH,isPartial
2018-11-11,2,False
2018-11-18,1,False
2018-11-25,1,False
2018-12-02,1,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,1,False
2019-01-13,1,False
2019-01-20,0,False
2019-01-27,1,False
2019-02-03,1,False
2019-02-10,1,False
2019-02-17,2,False
2019-02-24,2,False
2019-03-03,1,False
2019-03-10,0,False
2019-03-17,1,False
2019-03-24,0,False
2019-03-31,1,False
2019-04-07,2,False
2019-04-14,1,False
2019-04-21,1,False
2019-04-28,1,False
2019-05-05,1,False
2019-05-12,1,False
2019-05-19,1,False
2019-05-26,1,False
2019-06-02,1,False
2019-06-09,0,False
2019-06-16,2,False
2019-06-23,1,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,1,False
2019-07-28,0,False
2019-08-04,1,False
2019-08-11,0,False
2019-08-18,1,False
2019-08-25,0,False
2019-09-01,1,False
2019-09-08,1,False
2019-09-15,1,False
2019-09-22,0,False
2019-09-29,1,False
2019-10-06,1,False
2019-10-13,1,False
2019-10-20,1,False
2019-10-27,0,False
2019-11-03,1,False
2019-11-10,0,False
2019-11-17,1,False
2019-11-24,0,False
2019-12-01,1,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,1,False
2019-12-29,1,False
2020-01-05,0,False
2020-01-12,1,False
2020-01-19,0,False
2020-01-26,1,False
2020-02-02,3,False
2020-02-09,3,False
2020-02-16,3,False
2020-02-23,6,False
2020-03-01,10,False
2020-03-08,39,False
2020-03-15,47,False
2020-03-22,67,False
2020-03-29,62,False
2020-04-05,52,False
2020-04-12,46,False
2020-04-19,39,False
2020-04-26,61,False
2020-05-03,81,False
2020-05-10,66,False
2020-05-17,58,False
2020-05-24,73,False
2020-05-31,76,False
2020-06-07,100,False
2020-06-14,85,False
2020-06-21,71,False
2020-06-28,50,False
2020-07-05,50,False
2020-07-12,64,False
2020-07-19,42,False
2020-07-26,42,False
2020-08-02,39,False
2020-08-09,43,False
2020-08-16,31,False
2020-08-23,43,False
2020-08-30,37,False
2020-09-06,30,False
2020-09-13,30,False
2020-09-20,33,False
2020-09-27,31,False
2020-10-04,33,False
2020-10-11,30,False
2020-10-18,24,False
2020-10-25,29,False
2020-11-01,25,False
2020-11-08,43,False
2020-11-15,39,False
2020-11-22,31,False
2020-11-29,40,False
2020-12-06,38,False
2020-12-13,33,False
2020-12-20,29,False
2020-12-27,24,False
2021-01-03,22,False
2021-01-10,26,False
2021-01-17,20,False
2021-01-24,20,False
2021-01-31,21,False
2021-02-07,22,False
2021-02-14,19,False
2021-02-21,40,False
2021-02-28,38,False
2021-03-07,29,False
2021-03-14,27,False
2021-03-21,24,False
2021-03-28,21,False
2021-04-04,34,False
2021-04-11,25,False
2021-04-18,28,False
2021-04-25,25,False
2021-05-02,19,False
2021-05-09,25,False
2021-05-16,21,False
2021-05-23,28,False
2021-05-30,19,False
2021-06-06,25,False
2021-06-13,22,False
2021-06-20,21,False
2021-06-27,19,False
2021-07-04,17,False
2021-07-11,23,False
2021-07-18,25,False
2021-07-25,21,False
2021-08-01,20,False
2021-08-08,25,True
