date,WM,isPartial
2020-09-20,1,False
2020-09-27,1,False
2020-10-04,1,False
2020-10-11,1,False
2020-10-18,1,False
2020-10-25,1,False
2020-11-01,1,False
2020-11-08,1,False
2020-11-15,1,False
2020-11-22,1,False
2020-11-29,1,False
2020-12-06,2,False
2020-12-13,2,False
2020-12-20,2,False
2020-12-27,6,False
2021-01-03,2,False
2021-01-10,3,False
2021-01-17,5,False
2021-01-24,3,False
2021-01-31,2,False
2021-02-07,4,False
2021-02-14,4,False
2021-02-21,2,False
2021-02-28,2,False
2021-03-07,1,False
2021-03-14,1,False
2021-03-21,2,False
2021-03-28,3,False
2021-04-04,1,False
2021-04-11,1,False
2021-04-18,1,False
2021-04-25,1,False
2021-05-02,1,False
2021-05-09,1,False
2021-05-16,2,False
2021-05-23,4,False
2021-05-30,6,False
2021-06-06,3,False
2021-06-13,4,False
2021-06-20,3,False
2021-06-27,4,False
2021-07-04,2,False
2021-07-11,3,False
2021-07-18,1,False
2021-07-25,1,False
2021-08-01,1,False
2021-08-08,1,True
