date,EA,isPartial
2018-10-14,42,False
2018-10-21,43,False
2018-10-28,53,False
2018-11-04,42,False
2018-11-11,44,False
2018-11-18,49,False
2018-11-25,46,False
2018-12-02,45,False
2018-12-09,44,False
2018-12-16,41,False
2018-12-23,42,False
2018-12-30,43,False
2019-01-06,43,False
2019-01-13,40,False
2019-01-20,57,False
2019-01-27,46,False
2019-02-03,58,False
2019-02-10,58,False
2019-02-17,63,False
2019-02-24,50,False
2019-03-03,45,False
2019-03-10,44,False
2019-03-17,44,False
2019-03-24,39,False
2019-03-31,39,False
2019-04-07,40,False
2019-04-14,40,False
2019-04-21,39,False
2019-04-28,36,False
2019-05-05,66,False
2019-05-12,38,False
2019-05-19,40,False
2019-05-26,38,False
2019-06-02,51,False
2019-06-09,42,False
2019-06-16,38,False
2019-06-23,36,False
2019-06-30,38,False
2019-07-07,40,False
2019-07-14,41,False
2019-07-21,53,False
2019-07-28,47,False
2019-08-04,48,False
2019-08-11,39,False
2019-08-18,39,False
2019-08-25,39,False
2019-09-01,43,False
2019-09-08,50,False
2019-09-15,81,False
2019-09-22,54,False
2019-09-29,47,False
2019-10-06,58,False
2019-10-13,40,False
2019-10-20,43,False
2019-10-27,50,False
2019-11-03,47,False
2019-11-10,47,False
2019-11-17,43,False
2019-11-24,43,False
2019-12-01,44,False
2019-12-08,46,False
2019-12-15,43,False
2019-12-22,43,False
2019-12-29,45,False
2020-01-05,42,False
2020-01-12,39,False
2020-01-19,38,False
2020-01-26,42,False
2020-02-02,40,False
2020-02-09,39,False
2020-02-16,50,False
2020-02-23,53,False
2020-03-01,49,False
2020-03-08,39,False
2020-03-15,45,False
2020-03-22,50,False
2020-03-29,48,False
2020-04-05,45,False
2020-04-12,83,False
2020-04-19,49,False
2020-04-26,49,False
2020-05-03,47,False
2020-05-10,49,False
2020-05-17,45,False
2020-05-24,40,False
2020-05-31,43,False
2020-06-07,44,False
2020-06-14,61,False
2020-06-21,39,False
2020-06-28,43,False
2020-07-05,38,False
2020-07-12,40,False
2020-07-19,38,False
2020-07-26,41,False
2020-08-02,40,False
2020-08-09,45,False
2020-08-16,46,False
2020-08-23,42,False
2020-08-30,43,False
2020-09-06,47,False
2020-09-13,43,False
2020-09-20,45,False
2020-09-27,92,False
2020-10-04,58,False
2020-10-11,46,False
2020-10-18,67,False
2020-10-25,50,False
2020-11-01,47,False
2020-11-08,55,False
2020-11-15,45,False
2020-11-22,47,False
2020-11-29,47,False
2020-12-06,45,False
2020-12-13,43,False
2020-12-20,43,False
2020-12-27,42,False
2021-01-03,48,False
2021-01-10,45,False
2021-01-17,46,False
2021-01-24,48,False
2021-01-31,53,False
2021-02-07,45,False
2021-02-14,42,False
2021-02-21,46,False
2021-02-28,46,False
2021-03-07,46,False
2021-03-14,43,False
2021-03-21,43,False
2021-03-28,42,False
2021-04-04,40,False
2021-04-11,41,False
2021-04-18,38,False
2021-04-25,41,False
2021-05-02,44,False
2021-05-09,41,False
2021-05-16,39,False
2021-05-23,40,False
2021-05-30,39,False
2021-06-06,43,False
2021-06-13,40,False
2021-06-20,38,False
2021-06-27,37,False
2021-07-04,42,False
2021-07-11,38,False
2021-07-18,45,False
2021-07-25,39,False
2021-08-01,39,False
2021-08-08,47,True
