date,XEL,isPartial
2019-04-21,91,False
2019-04-28,73,False
2019-05-05,47,False
2019-05-12,71,False
2019-05-19,68,False
2019-05-26,97,False
2019-06-02,66,False
2019-06-09,57,False
2019-06-16,91,False
2019-06-23,68,False
2019-06-30,69,False
2019-07-07,63,False
2019-07-14,74,False
2019-07-21,63,False
2019-07-28,55,False
2019-08-04,64,False
2019-08-11,69,False
2019-08-18,66,False
2019-08-25,77,False
2019-09-01,82,False
2019-09-08,58,False
2019-09-15,64,False
2019-09-22,73,False
2019-09-29,49,False
2019-10-06,62,False
2019-10-13,50,False
2019-10-20,60,False
2019-10-27,52,False
2019-11-03,44,False
2019-11-10,52,False
2019-11-17,63,False
2019-11-24,54,False
2019-12-01,49,False
2019-12-08,53,False
2019-12-15,50,False
2019-12-22,45,False
2019-12-29,67,False
2020-01-05,57,False
2020-01-12,78,False
2020-01-19,57,False
2020-01-26,51,False
2020-02-02,57,False
2020-02-09,77,False
2020-02-16,70,False
2020-02-23,64,False
2020-03-01,67,False
2020-03-08,57,False
2020-03-15,41,False
2020-03-22,24,False
2020-03-29,41,False
2020-04-05,43,False
2020-04-12,35,False
2020-04-19,36,False
2020-04-26,39,False
2020-05-03,32,False
2020-05-10,47,False
2020-05-17,46,False
2020-05-24,39,False
2020-05-31,38,False
2020-06-07,38,False
2020-06-14,38,False
2020-06-21,44,False
2020-06-28,45,False
2020-07-05,40,False
2020-07-12,39,False
2020-07-19,50,False
2020-07-26,41,False
2020-08-02,57,False
2020-08-09,45,False
2020-08-16,53,False
2020-08-23,41,False
2020-08-30,40,False
2020-09-06,38,False
2020-09-13,41,False
2020-09-20,41,False
2020-09-27,46,False
2020-10-04,40,False
2020-10-11,35,False
2020-10-18,33,False
2020-10-25,46,False
2020-11-01,34,False
2020-11-08,40,False
2020-11-15,51,False
2020-11-22,53,False
2020-11-29,35,False
2020-12-06,39,False
2020-12-13,48,False
2020-12-20,42,False
2020-12-27,39,False
2021-01-03,45,False
2021-01-10,50,False
2021-01-17,53,False
2021-01-24,48,False
2021-01-31,42,False
2021-02-07,59,False
2021-02-14,49,False
2021-02-21,59,False
2021-02-28,49,False
2021-03-07,60,False
2021-03-14,52,False
2021-03-21,58,False
2021-03-28,60,False
2021-04-04,46,False
2021-04-11,70,False
2021-04-18,41,False
2021-04-25,42,False
2021-05-02,52,False
2021-05-09,45,False
2021-05-16,64,False
2021-05-23,55,False
2021-05-30,48,False
2021-06-06,56,False
2021-06-13,59,False
2021-06-20,55,False
2021-06-27,61,False
2021-07-04,65,False
2021-07-11,62,False
2021-07-18,56,False
2021-07-25,65,False
2021-08-01,70,False
2021-08-08,53,True
