date,QRVO,isPartial
2020-07-05,3,False
2020-07-12,45,False
2020-07-19,38,False
2020-07-26,88,False
2020-08-02,28,False
2020-08-09,44,False
2020-08-16,24,False
2020-08-23,20,False
2020-08-30,39,False
2020-09-06,43,False
2020-09-13,48,False
2020-09-20,16,False
2020-09-27,41,False
2020-10-04,34,False
2020-10-11,35,False
2020-10-18,11,False
2020-10-25,17,False
2020-11-01,63,False
2020-11-08,60,False
2020-11-15,49,False
2020-11-22,28,False
2020-11-29,24,False
2020-12-06,59,False
2020-12-13,42,False
2020-12-20,35,False
2020-12-27,45,False
2021-01-03,53,False
2021-01-10,46,False
2021-01-17,55,False
2021-01-24,24,False
2021-01-31,100,False
2021-02-07,45,False
2021-02-14,31,False
2021-02-21,31,False
2021-02-28,42,False
2021-03-07,49,False
2021-03-14,59,False
2021-03-21,24,False
2021-03-28,37,False
2021-04-04,63,False
2021-04-11,42,False
2021-04-18,35,False
2021-04-25,41,False
2021-05-02,66,False
2021-05-09,39,False
2021-05-16,39,False
2021-05-23,32,False
2021-05-30,25,False
2021-06-06,25,False
2021-06-13,18,False
2021-06-20,43,False
2021-06-27,43,False
2021-07-04,29,False
2021-07-11,25,False
2021-07-18,11,False
2021-07-25,32,False
2021-08-01,69,False
2021-08-08,15,True
