date,CSCO,isPartial
2019-01-27,37,False
2019-02-03,29,False
2019-02-10,79,False
2019-02-17,42,False
2019-02-24,50,False
2019-03-03,41,False
2019-03-10,41,False
2019-03-17,42,False
2019-03-24,33,False
2019-03-31,42,False
2019-04-07,37,False
2019-04-14,33,False
2019-04-21,46,False
2019-04-28,41,False
2019-05-05,31,False
2019-05-12,60,False
2019-05-19,40,False
2019-05-26,34,False
2019-06-02,39,False
2019-06-09,38,False
2019-06-16,40,False
2019-06-23,44,False
2019-06-30,48,False
2019-07-07,51,False
2019-07-14,35,False
2019-07-21,33,False
2019-07-28,39,False
2019-08-04,42,False
2019-08-11,86,False
2019-08-18,55,False
2019-08-25,37,False
2019-09-01,30,False
2019-09-08,45,False
2019-09-15,26,False
2019-09-22,35,False
2019-09-29,40,False
2019-10-06,38,False
2019-10-13,35,False
2019-10-20,34,False
2019-10-27,36,False
2019-11-03,31,False
2019-11-10,88,False
2019-11-17,43,False
2019-11-24,24,False
2019-12-01,34,False
2019-12-08,43,False
2019-12-15,55,False
2019-12-22,39,False
2019-12-29,39,False
2020-01-05,42,False
2020-01-12,39,False
2020-01-19,43,False
2020-01-26,42,False
2020-02-02,39,False
2020-02-09,75,False
2020-02-16,32,False
2020-02-23,58,False
2020-03-01,47,False
2020-03-08,57,False
2020-03-15,63,False
2020-03-22,64,False
2020-03-29,47,False
2020-04-05,49,False
2020-04-12,40,False
2020-04-19,42,False
2020-04-26,34,False
2020-05-03,40,False
2020-05-10,93,False
2020-05-17,48,False
2020-05-24,33,False
2020-05-31,51,False
2020-06-07,37,False
2020-06-14,37,False
2020-06-21,45,False
2020-06-28,34,False
2020-07-05,43,False
2020-07-12,36,False
2020-07-19,31,False
2020-07-26,34,False
2020-08-02,41,False
2020-08-09,94,False
2020-08-16,57,False
2020-08-23,34,False
2020-08-30,37,False
2020-09-06,36,False
2020-09-13,34,False
2020-09-20,35,False
2020-09-27,34,False
2020-10-04,35,False
2020-10-11,30,False
2020-10-18,26,False
2020-10-25,34,False
2020-11-01,36,False
2020-11-08,58,False
2020-11-15,34,False
2020-11-22,31,False
2020-11-29,29,False
2020-12-06,32,False
2020-12-13,32,False
2020-12-20,30,False
2020-12-27,26,False
2021-01-03,35,False
2021-01-10,24,False
2021-01-17,23,False
2021-01-24,29,False
2021-01-31,34,False
2021-02-07,60,False
2021-02-14,26,False
2021-02-21,27,False
2021-02-28,30,False
2021-03-07,35,False
2021-03-14,35,False
2021-03-21,39,False
2021-03-28,29,False
2021-04-04,35,False
2021-04-11,31,False
2021-04-18,31,False
2021-04-25,24,False
2021-05-02,23,False
2021-05-09,30,False
2021-05-16,47,False
2021-05-23,30,False
2021-05-30,23,False
2021-06-06,29,False
2021-06-13,23,False
2021-06-20,26,False
2021-06-27,25,False
2021-07-04,24,False
2021-07-11,28,False
2021-07-18,27,False
2021-07-25,28,False
2021-08-01,26,False
2021-08-08,36,True
