date,PCAR,isPartial
2019-11-17,20,False
2019-11-24,23,False
2019-12-01,23,False
2019-12-08,17,False
2019-12-15,19,False
2019-12-22,22,False
2019-12-29,11,False
2020-01-05,21,False
2020-01-12,17,False
2020-01-19,18,False
2020-01-26,9,False
2020-02-02,19,False
2020-02-09,13,False
2020-02-16,16,False
2020-02-23,26,False
2020-03-01,20,False
2020-03-08,28,False
2020-03-15,26,False
2020-03-22,20,False
2020-03-29,12,False
2020-04-05,16,False
2020-04-12,23,False
2020-04-19,13,False
2020-04-26,21,False
2020-05-03,24,False
2020-05-10,19,False
2020-05-17,12,False
2020-05-24,27,False
2020-05-31,23,False
2020-06-07,24,False
2020-06-14,15,False
2020-06-21,22,False
2020-06-28,18,False
2020-07-05,14,False
2020-07-12,19,False
2020-07-19,21,False
2020-07-26,22,False
2020-08-02,15,False
2020-08-09,22,False
2020-08-16,19,False
2020-08-23,13,False
2020-08-30,11,False
2020-09-06,22,False
2020-09-13,14,False
2020-09-20,19,False
2020-09-27,20,False
2020-10-04,21,False
2020-10-11,20,False
2020-10-18,24,False
2020-10-25,10,False
2020-11-01,20,False
2020-11-08,12,False
2020-11-15,9,False
2020-11-22,21,False
2020-11-29,23,False
2020-12-06,29,False
2020-12-13,16,False
2020-12-20,15,False
2020-12-27,13,False
2021-01-03,19,False
2021-01-10,15,False
2021-01-17,38,False
2021-01-24,27,False
2021-01-31,34,False
2021-02-07,38,False
2021-02-14,9,False
2021-02-21,20,False
2021-02-28,25,False
2021-03-07,37,False
2021-03-14,23,False
2021-03-21,15,False
2021-03-28,14,False
2021-04-04,27,False
2021-04-11,32,False
2021-04-18,22,False
2021-04-25,16,False
2021-05-02,29,False
2021-05-09,18,False
2021-05-16,19,False
2021-05-23,21,False
2021-05-30,15,False
2021-06-06,22,False
2021-06-13,15,False
2021-06-20,20,False
2021-06-27,14,False
2021-07-04,25,False
2021-07-11,25,False
2021-07-18,19,False
2021-07-25,18,False
2021-08-01,26,False
2021-08-08,16,True
