date,AFL,isPartial
2019-03-03,21,False
2019-03-10,23,False
2019-03-17,68,False
2019-03-24,71,False
2019-03-31,71,False
2019-04-07,72,False
2019-04-14,68,False
2019-04-21,83,False
2019-04-28,63,False
2019-05-05,67,False
2019-05-12,63,False
2019-05-19,62,False
2019-05-26,62,False
2019-06-02,58,False
2019-06-09,60,False
2019-06-16,55,False
2019-06-23,57,False
2019-06-30,63,False
2019-07-07,61,False
2019-07-14,64,False
2019-07-21,70,False
2019-07-28,71,False
2019-08-04,71,False
2019-08-11,77,False
2019-08-18,88,False
2019-08-25,62,False
2019-09-01,74,False
2019-09-08,63,False
2019-09-15,73,False
2019-09-22,100,False
2019-09-29,29,False
2019-10-06,27,False
2019-10-13,26,False
2019-10-20,13,False
2019-10-27,17,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,20,False
2019-12-01,11,False
2019-12-08,9,False
2019-12-15,9,False
2019-12-22,8,False
2019-12-29,8,False
2020-01-05,10,False
2020-01-12,10,False
2020-01-19,11,False
2020-01-26,11,False
2020-02-02,14,False
2020-02-09,13,False
2020-02-16,19,False
2020-02-23,24,False
2020-03-01,18,False
2020-03-08,21,False
2020-03-15,44,False
2020-03-22,21,False
2020-03-29,12,False
2020-04-05,11,False
2020-04-12,11,False
2020-04-19,10,False
2020-04-26,10,False
2020-05-03,10,False
2020-05-10,11,False
2020-05-17,11,False
2020-05-24,12,False
2020-05-31,12,False
2020-06-07,42,False
2020-06-14,47,False
2020-06-21,45,False
2020-06-28,47,False
2020-07-05,46,False
2020-07-12,50,False
2020-07-19,56,False
2020-07-26,67,False
2020-08-02,68,False
2020-08-09,71,False
2020-08-16,55,False
2020-08-23,61,False
2020-08-30,62,False
2020-09-06,68,False
2020-09-13,59,False
2020-09-20,47,False
2020-09-27,54,False
2020-10-04,42,False
2020-10-11,48,False
2020-10-18,85,False
2020-10-25,23,False
2020-11-01,16,False
2020-11-08,21,False
2020-11-15,10,False
2020-11-22,10,False
2020-11-29,9,False
2020-12-06,18,False
2020-12-13,7,False
2020-12-20,7,False
2020-12-27,6,False
2021-01-03,8,False
2021-01-10,7,False
2021-01-17,8,False
2021-01-24,10,False
2021-01-31,10,False
2021-02-07,10,False
2021-02-14,10,False
2021-02-21,11,False
2021-02-28,17,False
2021-03-07,19,False
2021-03-14,50,False
2021-03-21,56,False
2021-03-28,66,False
2021-04-04,69,False
2021-04-11,61,False
2021-04-18,63,False
2021-04-25,68,False
2021-05-02,63,False
2021-05-09,60,False
2021-05-16,63,False
2021-05-23,64,False
2021-05-30,61,False
2021-06-06,54,False
2021-06-13,60,False
2021-06-20,57,False
2021-06-27,61,False
2021-07-04,62,False
2021-07-11,73,False
2021-07-18,63,False
2021-07-25,53,False
2021-08-01,58,False
2021-08-08,53,True
