date,JKHY,isPartial
2019-06-02,10,False
2019-06-09,28,False
2019-06-16,0,False
2019-06-23,10,False
2019-06-30,10,False
2019-07-07,19,False
2019-07-14,10,False
2019-07-21,40,False
2019-07-28,20,False
2019-08-04,10,False
2019-08-11,10,False
2019-08-18,29,False
2019-08-25,19,False
2019-09-01,9,False
2019-09-08,0,False
2019-09-15,28,False
2019-09-22,9,False
2019-09-29,9,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,9,False
2019-10-27,27,False
2019-11-03,18,False
2019-11-10,9,False
2019-11-17,9,False
2019-11-24,9,False
2019-12-01,18,False
2019-12-08,37,False
2019-12-15,9,False
2019-12-22,0,False
2019-12-29,38,False
2020-01-05,9,False
2020-01-12,8,False
2020-01-19,0,False
2020-01-26,17,False
2020-02-02,26,False
2020-02-09,25,False
2020-02-16,8,False
2020-02-23,41,False
2020-03-01,16,False
2020-03-08,24,False
2020-03-15,40,False
2020-03-22,23,False
2020-03-29,15,False
2020-04-05,48,False
2020-04-12,8,False
2020-04-19,23,False
2020-04-26,8,False
2020-05-03,39,False
2020-05-10,24,False
2020-05-17,32,False
2020-05-24,0,False
2020-05-31,23,False
2020-06-07,8,False
2020-06-14,0,False
2020-06-21,8,False
2020-06-28,33,False
2020-07-05,17,False
2020-07-12,8,False
2020-07-19,9,False
2020-07-26,26,False
2020-08-02,17,False
2020-08-09,17,False
2020-08-16,100,False
2020-08-23,33,False
2020-08-30,24,False
2020-09-06,0,False
2020-09-13,8,False
2020-09-20,8,False
2020-09-27,8,False
2020-10-04,50,False
2020-10-11,18,False
2020-10-18,0,False
2020-10-25,9,False
2020-11-01,33,False
2020-11-08,17,False
2020-11-15,0,False
2020-11-22,0,False
2020-11-29,25,False
2020-12-06,34,False
2020-12-13,9,False
2020-12-20,28,False
2020-12-27,46,False
2021-01-03,25,False
2021-01-10,17,False
2021-01-17,26,False
2021-01-24,17,False
2021-01-31,9,False
2021-02-07,51,False
2021-02-14,34,False
2021-02-21,0,False
2021-02-28,17,False
2021-03-07,9,False
2021-03-14,32,False
2021-03-21,9,False
2021-03-28,0,False
2021-04-04,0,False
2021-04-11,26,False
2021-04-18,35,False
2021-04-25,0,False
2021-05-02,9,False
2021-05-09,9,False
2021-05-16,9,False
2021-05-23,9,False
2021-05-30,17,False
2021-06-06,9,False
2021-06-13,9,False
2021-06-20,18,False
2021-06-27,9,False
2021-07-04,18,False
2021-07-11,18,False
2021-07-18,0,False
2021-07-25,0,False
2021-08-01,0,False
2021-08-08,31,True
