date,ATVI,isPartial
2019-06-16,14,False
2019-06-23,17,False
2019-06-30,16,False
2019-07-07,18,False
2019-07-14,12,False
2019-07-21,17,False
2019-07-28,26,False
2019-08-04,40,False
2019-08-11,17,False
2019-08-18,19,False
2019-08-25,28,False
2019-09-01,23,False
2019-09-08,26,False
2019-09-15,27,False
2019-09-22,14,False
2019-09-29,16,False
2019-10-06,39,False
2019-10-13,26,False
2019-10-20,26,False
2019-10-27,39,False
2019-11-03,44,False
2019-11-10,21,False
2019-11-17,15,False
2019-11-24,13,False
2019-12-01,14,False
2019-12-08,13,False
2019-12-15,15,False
2019-12-22,8,False
2019-12-29,14,False
2020-01-05,9,False
2020-01-12,16,False
2020-01-19,12,False
2020-01-26,15,False
2020-02-02,33,False
2020-02-09,17,False
2020-02-16,11,False
2020-02-23,15,False
2020-03-01,11,False
2020-03-08,20,False
2020-03-15,18,False
2020-03-22,20,False
2020-03-29,17,False
2020-04-05,10,False
2020-04-12,31,False
2020-04-19,19,False
2020-04-26,23,False
2020-05-03,75,False
2020-05-10,23,False
2020-05-17,21,False
2020-05-24,20,False
2020-05-31,16,False
2020-06-07,23,False
2020-06-14,18,False
2020-06-21,18,False
2020-06-28,12,False
2020-07-05,20,False
2020-07-12,17,False
2020-07-19,16,False
2020-07-26,23,False
2020-08-02,100,False
2020-08-09,25,False
2020-08-16,27,False
2020-08-23,24,False
2020-08-30,17,False
2020-09-06,14,False
2020-09-13,13,False
2020-09-20,13,False
2020-09-27,16,False
2020-10-04,15,False
2020-10-11,14,False
2020-10-18,13,False
2020-10-25,29,False
2020-11-01,11,False
2020-11-08,15,False
2020-11-15,15,False
2020-11-22,14,False
2020-11-29,14,False
2020-12-06,18,False
2020-12-13,18,False
2020-12-20,15,False
2020-12-27,10,False
2021-01-03,7,False
2021-01-10,7,False
2021-01-17,11,False
2021-01-24,11,False
2021-01-31,33,False
2021-02-07,18,False
2021-02-14,11,False
2021-02-21,15,False
2021-02-28,15,False
2021-03-07,15,False
2021-03-14,11,False
2021-03-21,8,False
2021-03-28,10,False
2021-04-04,8,False
2021-04-11,7,False
2021-04-18,7,False
2021-04-25,8,False
2021-05-02,20,False
2021-05-09,7,False
2021-05-16,6,False
2021-05-23,11,False
2021-05-30,6,False
2021-06-06,8,False
2021-06-13,10,False
2021-06-20,12,False
2021-06-27,8,False
2021-07-04,9,False
2021-07-11,5,False
2021-07-18,13,False
2021-07-25,30,False
2021-08-01,40,False
2021-08-08,23,True
