date,LRCX,isPartial
2020-01-05,15,False
2020-01-12,24,False
2020-01-19,15,False
2020-01-26,31,False
2020-02-02,26,False
2020-02-09,21,False
2020-02-16,26,False
2020-02-23,31,False
2020-03-01,25,False
2020-03-08,28,False
2020-03-15,31,False
2020-03-22,21,False
2020-03-29,18,False
2020-04-05,24,False
2020-04-12,21,False
2020-04-19,41,False
2020-04-26,28,False
2020-05-03,17,False
2020-05-10,25,False
2020-05-17,28,False
2020-05-24,22,False
2020-05-31,24,False
2020-06-07,24,False
2020-06-14,26,False
2020-06-21,19,False
2020-06-28,22,False
2020-07-05,29,False
2020-07-12,23,False
2020-07-19,12,False
2020-07-26,32,False
2020-08-02,29,False
2020-08-09,21,False
2020-08-16,20,False
2020-08-23,16,False
2020-08-30,21,False
2020-09-06,18,False
2020-09-13,30,False
2020-09-20,13,False
2020-09-27,13,False
2020-10-04,14,False
2020-10-11,23,False
2020-10-18,26,False
2020-10-25,20,False
2020-11-01,24,False
2020-11-08,24,False
2020-11-15,27,False
2020-11-22,18,False
2020-11-29,26,False
2020-12-06,21,False
2020-12-13,12,False
2020-12-20,14,False
2020-12-27,13,False
2021-01-03,18,False
2021-01-10,30,False
2021-01-17,29,False
2021-01-24,40,False
2021-01-31,24,False
2021-02-07,31,False
2021-02-14,22,False
2021-02-21,23,False
2021-02-28,32,False
2021-03-07,38,False
2021-03-14,23,False
2021-03-21,23,False
2021-03-28,33,False
2021-04-04,29,False
2021-04-11,29,False
2021-04-18,44,False
2021-04-25,30,False
2021-05-02,34,False
2021-05-09,37,False
2021-05-16,20,False
2021-05-23,30,False
2021-05-30,20,False
2021-06-06,19,False
2021-06-13,15,False
2021-06-20,21,False
2021-06-27,21,False
2021-07-04,22,False
2021-07-11,18,False
2021-07-18,31,False
2021-07-25,32,False
2021-08-01,29,False
2021-08-08,22,True
