date,INTU,isPartial
2020-10-11,13,False
2020-10-18,13,False
2020-10-25,14,False
2020-11-01,12,False
2020-11-08,8,False
2020-11-15,9,False
2020-11-22,9,False
2020-11-29,15,False
2020-12-06,18,False
2020-12-13,19,False
2020-12-20,17,False
2020-12-27,12,False
2021-01-03,8,False
2021-01-10,7,False
2021-01-17,4,False
2021-01-24,5,False
2021-01-31,6,False
2021-02-07,5,False
2021-02-14,6,False
2021-02-21,6,False
2021-02-28,6,False
2021-03-07,6,False
2021-03-14,5,False
2021-03-21,5,False
2021-03-28,5,False
2021-04-04,6,False
2021-04-11,10,False
2021-04-18,10,False
2021-04-25,9,False
2021-05-02,11,False
2021-05-09,11,False
2021-05-16,11,False
2021-05-23,16,False
2021-05-30,34,False
2021-06-06,21,False
2021-06-13,18,False
2021-06-20,15,False
2021-06-27,14,False
2021-07-04,12,False
2021-07-11,12,False
2021-07-18,11,False
2021-07-25,13,False
2021-08-01,11,False
2021-08-08,15,True
