date,SPGI,isPartial
2018-11-25,14,False
2018-12-02,33,False
2018-12-09,22,False
2018-12-16,26,False
2018-12-23,24,False
2018-12-30,24,False
2019-01-06,36,False
2019-01-13,11,False
2019-01-20,18,False
2019-01-27,18,False
2019-02-03,46,False
2019-02-10,21,False
2019-02-17,21,False
2019-02-24,28,False
2019-03-03,36,False
2019-03-10,18,False
2019-03-17,18,False
2019-03-24,25,False
2019-03-31,25,False
2019-04-07,25,False
2019-04-14,30,False
2019-04-21,18,False
2019-04-28,25,False
2019-05-05,18,False
2019-05-12,22,False
2019-05-19,32,False
2019-05-26,35,False
2019-06-02,35,False
2019-06-09,14,False
2019-06-16,43,False
2019-06-23,21,False
2019-06-30,25,False
2019-07-07,39,False
2019-07-14,36,False
2019-07-21,15,False
2019-07-28,51,False
2019-08-04,18,False
2019-08-11,22,False
2019-08-18,28,False
2019-08-25,7,False
2019-09-01,21,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,54,False
2019-09-29,51,False
2019-10-06,31,False
2019-10-13,33,False
2019-10-20,39,False
2019-10-27,47,False
2019-11-03,33,False
2019-11-10,33,False
2019-11-17,23,False
2019-11-24,36,False
2019-12-01,50,False
2019-12-08,17,False
2019-12-15,37,False
2019-12-22,18,False
2019-12-29,14,False
2020-01-05,39,False
2020-01-12,40,False
2020-01-19,26,False
2020-01-26,29,False
2020-02-02,51,False
2020-02-09,47,False
2020-02-16,22,False
2020-02-23,40,False
2020-03-01,55,False
2020-03-08,100,False
2020-03-15,65,False
2020-03-22,67,False
2020-03-29,69,False
2020-04-05,47,False
2020-04-12,44,False
2020-04-19,74,False
2020-04-26,60,False
2020-05-03,57,False
2020-05-10,73,False
2020-05-17,67,False
2020-05-24,41,False
2020-05-31,46,False
2020-06-07,38,False
2020-06-14,62,False
2020-06-21,45,False
2020-06-28,24,False
2020-07-05,37,False
2020-07-12,47,False
2020-07-19,22,False
2020-07-26,45,False
2020-08-02,34,False
2020-08-09,34,False
2020-08-16,46,False
2020-08-23,24,False
2020-08-30,54,False
2020-09-06,27,False
2020-09-13,36,False
2020-09-20,39,False
2020-09-27,65,False
2020-10-04,34,False
2020-10-11,42,False
2020-10-18,42,False
2020-10-25,58,False
2020-11-01,51,False
2020-11-08,67,False
2020-11-15,48,False
2020-11-22,32,False
2020-11-29,81,False
2020-12-06,22,False
2020-12-13,45,False
2020-12-20,35,False
2020-12-27,51,False
2021-01-03,44,False
2021-01-10,48,False
2021-01-17,54,False
2021-01-24,38,False
2021-01-31,41,False
2021-02-07,50,False
2021-02-14,32,False
2021-02-21,40,False
2021-02-28,47,False
2021-03-07,38,False
2021-03-14,42,False
2021-03-21,22,False
2021-03-28,23,False
2021-04-04,38,False
2021-04-11,54,False
2021-04-18,32,False
2021-04-25,31,False
2021-05-02,44,False
2021-05-09,26,False
2021-05-16,29,False
2021-05-23,29,False
2021-05-30,29,False
2021-06-06,35,False
2021-06-13,49,False
2021-06-20,46,False
2021-06-27,23,False
2021-07-04,27,False
2021-07-11,23,False
2021-07-18,17,False
2021-07-25,20,False
2021-08-01,47,False
2021-08-08,66,True
