date,CINF,isPartial
2021-02-07,37,False
2021-02-14,31,False
2021-02-21,24,False
2021-02-28,25,False
2021-03-07,0,False
2021-03-14,40,False
2021-03-21,12,False
2021-03-28,26,False
2021-04-04,25,False
2021-04-11,43,False
2021-04-18,56,False
2021-04-25,0,False
2021-05-02,37,False
2021-05-09,44,False
2021-05-16,19,False
2021-05-23,25,False
2021-05-30,13,False
2021-06-06,13,False
2021-06-13,25,False
2021-06-20,19,False
2021-06-27,32,False
2021-07-04,19,False
2021-07-11,25,False
2021-07-18,26,False
2021-07-25,25,False
2021-08-01,19,False
2021-08-08,27,True
